Grid_Number,department_store
26,2.0
27,6.0
28,6.0
29,6.0
45,10.0
46,16.0
47,4.0
48,6.0
49,5.0
50,8.0
51,11.0
52,10.0
58,6.0
59,6.0
65,9.0
66,13.0
67,10.0
68,3.0
69,4.0
70,10.0
71,3.0
72,1.0
77,5.0
78,6.0
79,9.0
80,18.0
81,8.0
82,3.0
83,3.0
84,1.0
85,2.0
86,5.0
87,2.0
88,4.0
89,9.0
90,4.0
91,3.0
96,2.0
97,9.0
98,8.0
99,16.0
102,22.0
103,2.0
104,12.0
105,20.0
106,7.0
107,11.0
108,8.0
110,3.0
116,4.0
117,9.0
120,8.0
121,20.0
122,4.0
123,13.0
124,15.0
125,4.0
126,3.0
127,8.0
128,10.0
135,4.0
141,4.0
142,2.0
143,3.0
145,4.0
147,7.0
148,2.0
149,13.0
153,8.0
154,2.0
155,8.0
160,1.0
161,2.0
162,6.0
164,2.0
165,8.0
166,10.0
167,2.0
168,8.0
169,7.0
172,3.0
173,10.0
174,11.0
175,11.0
179,6.0
180,9.0
181,8.0
182,2.0
183,6.0
184,19.0
185,7.0
186,3.0
187,6.0
188,6.0
197,7.0
198,7.0
199,9.0
200,8.0
201,8.0
202,8.0
203,10.0
204,6.0
205,3.0
206,6.0
207,5.0
217,6.0
218,12.0
219,9.0
220,5.0
221,3.0
222,2.0
223,13.0
224,3.0
225,8.0
226,10.0
241,9.0
242,49.0
243,8.0
244,20.0
245,13.0
260,1.0
261,17.0
262,5.0
263,12.0
264,5.0
