Grid_Number,primary_school
26,0.0
27,1.0
28,0.0
29,0.0
45,0.0
46,0.0
47,3.0
48,4.0
49,0.0
50,0.0
51,4.0
52,3.0
58,1.0
59,1.0
65,7.0
66,4.0
67,2.0
68,1.0
69,1.0
70,1.0
71,3.0
72,0.0
77,0.0
78,2.0
79,2.0
80,4.0
81,2.0
82,0.0
83,1.0
84,6.0
85,4.0
86,6.0
87,0.0
88,1.0
89,1.0
90,3.0
91,5.0
96,1.0
97,2.0
98,1.0
99,5.0
102,9.0
103,0.0
104,2.0
105,3.0
106,10.0
107,3.0
108,1.0
110,1.0
116,3.0
117,2.0
120,1.0
121,2.0
122,11.0
123,2.0
124,5.0
125,12.0
126,8.0
127,1.0
128,2.0
135,0.0
141,4.0
142,5.0
143,3.0
145,4.0
147,8.0
148,3.0
149,5.0
153,1.0
154,0.0
155,2.0
160,0.0
161,5.0
162,9.0
164,2.0
165,2.0
166,3.0
167,7.0
168,7.0
169,2.0
172,4.0
173,3.0
174,1.0
175,1.0
179,2.0
180,2.0
181,3.0
182,3.0
183,4.0
184,7.0
185,17.0
186,3.0
187,6.0
188,2.0
197,4.0
198,3.0
199,2.0
200,1.0
201,5.0
202,2.0
203,8.0
204,3.0
205,4.0
206,5.0
207,3.0
217,8.0
218,7.0
219,7.0
220,7.0
221,0.0
222,5.0
223,4.0
224,3.0
225,5.0
226,4.0
241,2.0
242,8.0
243,6.0
244,15.0
245,2.0
260,0.0
261,3.0
262,6.0
263,12.0
264,1.0
