Amenities,Number of Amenities per capita
local_government_office,0.00017018167981409989
school,0.0005770808939583479
police,4.104136415537796e-05
doctor,0.00033226230661639807
train_station,4.288792770953865e-06
department_store,8.839678433466022e-05
supermarket,0.00012884248282740569
primary_school,2.6507121987145417e-05
taxi_stand,1.0662415361121415e-05
bus_station,2.5911456324512936e-05
hospital,0.00037592459968735894
bank,8.357189246733712e-05
