Amenities,Correlation_Coefficient
local_government_office,-0.9391
school,-0.68305
police,-0.98246
doctor,-0.87872
train_station,-0.83576
department_store,-0.92956
supermarket,-0.85714
primary_school,-0.97873
taxi_stand,-0.94204
bus_station,-0.91988
hospital,-0.85632
bank,-0.88161
