Grid_Number,school
0,194.0
1,212.0
2,260.0
3,301.0
4,310.0
5,307.0
6,310.0
7,298.0
8,305.0
9,322.0
10,324.0
11,355.0
12,358.0
13,325.0
14,293.0
15,276.0
16,240.0
17,181.0
18,135.0
19,249.0
20,299.0
21,389.0
22,425.0
23,428.0
24,390.0
25,430.0
26,82.0
27,93.0
28,91.0
29,81.0
30,433.0
31,438.0
32,411.0
33,391.0
34,338.0
35,298.0
36,250.0
37,176.0
38,301.0
39,383.0
40,441.0
41,500.0
42,551.0
43,511.0
44,517.0
45,113.0
46,111.0
47,134.0
48,134.0
49,118.0
50,102.0
51,131.0
52,142.0
53,427.0
54,383.0
55,304.0
56,222.0
57,375.0
58,143.0
59,153.0
60,558.0
61,611.0
62,617.0
63,593.0
64,582.0
65,123.0
66,144.0
67,131.0
68,108.0
69,121.0
70,150.0
71,132.0
72,147.0
73,428.0
74,354.0
75,263.0
76,443.0
77,142.0
78,164.0
79,154.0
80,132.0
81,139.0
82,134.0
83,119.0
84,115.0
85,135.0
86,111.0
87,102.0
88,107.0
89,127.0
90,135.0
91,117.0
92,489.0
93,414.0
94,297.0
95,491.0
96,134.0
97,144.0
98,153.0
99,129.0
100,765.0
101,765.0
102,122.0
103,137.0
104,118.0
105,130.0
106,117.0
107,114.0
108,136.0
109,687.0
110,139.0
111,512.0
112,423.0
113,296.0
114,468.0
115,590.0
116,130.0
117,140.0
118,806.0
119,765.0
120,92.0
121,113.0
122,131.0
123,130.0
124,121.0
125,118.0
126,116.0
127,127.0
128,113.0
129,607.0
130,526.0
131,420.0
132,294.0
133,422.0
134,518.0
135,150.0
136,723.0
137,778.0
138,787.0
139,826.0
140,835.0
141,109.0
142,118.0
143,129.0
144,739.0
145,111.0
146,725.0
147,119.0
148,115.0
149,114.0
150,382.0
151,306.0
152,375.0
153,133.0
154,146.0
155,137.0
156,729.0
157,764.0
158,774.0
159,763.0
160,127.0
161,122.0
162,118.0
163,734.0
164,104.0
165,106.0
166,118.0
167,109.0
168,99.0
169,89.0
170,300.0
171,328.0
172,131.0
173,136.0
174,133.0
175,155.0
176,641.0
177,648.0
178,665.0
179,138.0
180,131.0
181,120.0
182,106.0
183,101.0
184,97.0
185,97.0
186,102.0
187,109.0
188,75.0
189,290.0
190,249.0
191,337.0
192,381.0
193,468.0
194,535.0
195,529.0
196,575.0
197,160.0
198,174.0
199,154.0
200,124.0
201,102.0
202,92.0
203,117.0
204,104.0
205,85.0
206,91.0
207,66.0
208,299.0
209,212.0
210,274.0
211,321.0
212,398.0
213,453.0
214,451.0
215,468.0
216,485.0
217,137.0
218,144.0
219,89.0
220,78.0
221,100.0
222,108.0
223,150.0
224,130.0
225,93.0
226,75.0
227,275.0
228,157.0
229,202.0
230,230.0
231,295.0
232,337.0
233,363.0
234,378.0
235,386.0
236,383.0
237,370.0
238,440.0
239,450.0
240,437.0
241,116.0
242,122.0
243,151.0
244,123.0
245,82.0
246,247.0
247,84.0
248,127.0
249,145.0
250,157.0
251,216.0
252,243.0
253,259.0
254,285.0
255,271.0
256,292.0
257,342.0
258,350.0
259,351.0
260,87.0
261,105.0
262,120.0
263,108.0
264,76.0
265,200.0
266,21.0
267,32.0
268,62.0
269,64.0
270,86.0
271,137.0
272,166.0
273,185.0
274,190.0
275,196.0
276,224.0
277,243.0
278,235.0
279,270.0
280,258.0
281,240.0
282,233.0
283,206.0
284,160.0
