Grid_Number,bank
0,36.0
1,47.0
2,55.0
3,66.0
4,75.0
5,85.0
6,85.0
7,87.0
8,86.0
9,91.0
10,98.0
11,109.0
12,108.0
13,107.0
14,90.0
15,77.0
16,56.0
17,41.0
18,19.0
19,48.0
20,56.0
21,69.0
22,78.0
23,90.0
24,104.0
25,112.0
26,21.0
27,28.0
28,26.0
29,36.0
30,144.0
31,153.0
32,140.0
33,119.0
34,102.0
35,67.0
36,56.0
37,35.0
38,60.0
39,70.0
40,83.0
41,98.0
42,112.0
43,144.0
44,155.0
45,27.0
46,33.0
47,40.0
48,51.0
49,43.0
50,45.0
51,36.0
52,40.0
53,132.0
54,102.0
55,73.0
56,50.0
57,70.0
58,20.0
59,41.0
60,106.0
61,144.0
62,174.0
63,184.0
64,203.0
65,32.0
66,41.0
67,31.0
68,34.0
69,44.0
70,49.0
71,48.0
72,37.0
73,123.0
74,99.0
75,62.0
76,86.0
77,15.0
78,33.0
79,42.0
80,34.0
81,37.0
82,34.0
83,39.0
84,36.0
85,34.0
86,34.0
87,44.0
88,48.0
89,50.0
90,42.0
91,30.0
92,151.0
93,113.0
94,77.0
95,97.0
96,13.0
97,27.0
98,26.0
99,26.0
100,233.0
101,261.0
102,58.0
103,61.0
104,42.0
105,40.0
106,47.0
107,53.0
108,53.0
109,235.0
110,41.0
111,165.0
112,123.0
113,85.0
114,93.0
115,123.0
116,19.0
117,19.0
118,233.0
119,269.0
120,45.0
121,71.0
122,84.0
123,65.0
124,62.0
125,55.0
126,58.0
127,55.0
128,43.0
129,201.0
130,158.0
131,117.0
132,86.0
133,81.0
134,99.0
135,37.0
136,177.0
137,233.0
138,273.0
139,296.0
140,325.0
141,93.0
142,86.0
143,79.0
144,363.0
145,62.0
146,291.0
147,43.0
148,43.0
149,43.0
150,113.0
151,83.0
152,73.0
153,33.0
154,43.0
155,38.0
156,215.0
157,269.0
158,291.0
159,314.0
160,92.0
161,101.0
162,84.0
163,360.0
164,58.0
165,41.0
166,39.0
167,37.0
168,42.0
169,32.0
170,80.0
171,74.0
172,35.0
173,40.0
174,46.0
175,37.0
176,247.0
177,265.0
178,304.0
179,90.0
180,83.0
181,88.0
182,70.0
183,63.0
184,31.0
185,27.0
186,27.0
187,25.0
188,20.0
189,90.0
190,63.0
191,82.0
192,88.0
193,112.0
194,153.0
195,205.0
196,232.0
197,55.0
198,77.0
199,82.0
200,75.0
201,67.0
202,47.0
203,34.0
204,28.0
205,17.0
206,19.0
207,13.0
208,90.0
209,53.0
210,69.0
211,73.0
212,93.0
213,122.0
214,156.0
215,182.0
216,213.0
217,55.0
218,57.0
219,52.0
220,42.0
221,56.0
222,46.0
223,58.0
224,30.0
225,29.0
226,25.0
227,85.0
228,45.0
229,54.0
230,66.0
231,72.0
232,95.0
233,115.0
234,131.0
235,160.0
236,176.0
237,201.0
238,226.0
239,213.0
240,201.0
241,57.0
242,60.0
243,61.0
244,33.0
245,27.0
246,76.0
247,19.0
248,33.0
249,37.0
250,40.0
251,54.0
252,74.0
253,89.0
254,107.0
255,117.0
256,139.0
257,170.0
258,161.0
259,151.0
260,47.0
261,54.0
262,56.0
263,30.0
264,23.0
265,67.0
266,1.0
267,3.0
268,18.0
269,19.0
270,18.0
271,33.0
272,44.0
273,56.0
274,68.0
275,82.0
276,117.0
277,112.0
278,105.0
279,107.0
280,96.0
281,86.0
282,84.0
283,73.0
284,53.0
