Grid_Number,department_store
0,3.0
1,1.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,0.0
8,1.0
9,5.0
10,2.0
11,0.0
12,0.0
13,2.0
14,2.0
15,0.0
16,2.0
17,5.0
18,2.0
19,3.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,2.0
26,0.0
27,3.0
28,1.0
29,2.0
30,5.0
31,1.0
32,2.0
33,0.0
34,2.0
35,0.0
36,2.0
37,3.0
38,4.0
39,3.0
40,5.0
41,6.0
42,0.0
43,0.0
44,1.0
45,4.0
46,11.0
47,1.0
48,4.0
49,2.0
50,5.0
51,6.0
52,5.0
53,1.0
54,2.0
55,0.0
56,0.0
57,0.0
58,3.0
59,3.0
60,6.0
61,1.0
62,1.0
63,3.0
64,2.0
65,4.0
66,8.0
67,5.0
68,2.0
69,1.0
70,7.0
71,2.0
72,0.0
73,0.0
74,0.0
75,1.0
76,0.0
77,4.0
78,4.0
79,6.0
80,9.0
81,1.0
82,1.0
83,1.0
84,0.0
85,1.0
86,2.0
87,0.0
88,3.0
89,5.0
90,2.0
91,2.0
92,3.0
93,4.0
94,5.0
95,1.0
96,0.0
97,4.0
98,3.0
99,13.0
100,3.0
101,1.0
102,12.0
103,0.0
104,8.0
105,14.0
106,3.0
107,9.0
108,2.0
109,1.0
110,2.0
111,2.0
112,1.0
113,1.0
114,0.0
115,0.0
116,2.0
117,7.0
118,0.0
119,2.0
120,1.0
121,14.0
122,1.0
123,6.0
124,8.0
125,2.0
126,2.0
127,5.0
128,5.0
129,0.0
130,5.0
131,8.0
132,0.0
133,1.0
134,2.0
135,0.0
136,6.0
137,0.0
138,0.0
139,2.0
140,0.0
141,2.0
142,1.0
143,2.0
144,1.0
145,1.0
146,7.0
147,4.0
148,0.0
149,7.0
150,1.0
151,0.0
152,1.0
153,6.0
154,0.0
155,5.0
156,0.0
157,2.0
158,3.0
159,0.0
160,0.0
161,0.0
162,2.0
163,2.0
164,1.0
165,1.0
166,8.0
167,0.0
168,6.0
169,3.0
170,5.0
171,1.0
172,1.0
173,6.0
174,3.0
175,7.0
176,8.0
177,2.0
178,4.0
179,3.0
180,5.0
181,7.0
182,0.0
183,4.0
184,13.0
185,5.0
186,1.0
187,3.0
188,2.0
189,10.0
190,1.0
191,0.0
192,6.0
193,7.0
194,5.0
195,5.0
196,1.0
197,6.0
198,5.0
199,5.0
200,5.0
201,1.0
202,4.0
203,6.0
204,3.0
205,1.0
206,3.0
207,2.0
208,1.0
209,0.0
210,0.0
211,0.0
212,0.0
213,1.0
214,0.0
215,3.0
216,1.0
217,4.0
218,6.0
219,5.0
220,3.0
221,2.0
222,0.0
223,2.0
224,2.0
225,3.0
226,6.0
227,2.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,1.0
239,1.0
240,0.0
241,1.0
242,35.0
243,4.0
244,16.0
245,1.0
246,4.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,9.0
262,2.0
263,7.0
264,3.0
265,8.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
