Grid_Number,police
0,11.0
1,14.0
2,18.0
3,28.0
4,31.0
5,32.0
6,33.0
7,38.0
8,36.0
9,36.0
10,41.0
11,40.0
12,37.0
13,36.0
14,32.0
15,30.0
16,25.0
17,16.0
18,7.0
19,15.0
20,20.0
21,31.0
22,34.0
23,38.0
24,39.0
25,48.0
26,7.0
27,6.0
28,6.0
29,9.0
30,58.0
31,59.0
32,53.0
33,52.0
34,48.0
35,35.0
36,29.0
37,14.0
38,20.0
39,25.0
40,36.0
41,41.0
42,48.0
43,54.0
44,64.0
45,10.0
46,11.0
47,14.0
48,15.0
49,17.0
50,19.0
51,17.0
52,13.0
53,55.0
54,43.0
55,34.0
56,21.0
57,24.0
58,6.0
59,8.0
60,45.0
61,52.0
62,64.0
63,79.0
64,83.0
65,17.0
66,19.0
67,25.0
68,18.0
69,15.0
70,19.0
71,15.0
72,13.0
73,58.0
74,42.0
75,29.0
76,27.0
77,5.0
78,11.0
79,13.0
80,18.0
81,20.0
82,23.0
83,23.0
84,22.0
85,29.0
86,29.0
87,25.0
88,17.0
89,23.0
90,20.0
91,23.0
92,66.0
93,48.0
94,36.0
95,22.0
96,7.0
97,8.0
98,9.0
99,12.0
100,89.0
101,97.0
102,19.0
103,30.0
104,31.0
105,24.0
106,23.0
107,24.0
108,23.0
109,113.0
110,21.0
111,71.0
112,54.0
113,39.0
114,22.0
115,33.0
116,8.0
117,8.0
118,76.0
119,88.0
120,16.0
121,23.0
122,26.0
123,25.0
124,24.0
125,21.0
126,19.0
127,22.0
128,23.0
129,104.0
130,83.0
131,65.0
132,42.0
133,18.0
134,27.0
135,8.0
136,60.0
137,73.0
138,87.0
139,98.0
140,109.0
141,17.0
142,19.0
143,17.0
144,163.0
145,23.0
146,155.0
147,25.0
148,22.0
149,16.0
150,68.0
151,44.0
152,19.0
153,3.0
154,5.0
155,10.0
156,64.0
157,82.0
158,92.0
159,101.0
160,15.0
161,17.0
162,14.0
163,161.0
164,34.0
165,37.0
166,33.0
167,24.0
168,16.0
169,13.0
170,51.0
171,20.0
172,5.0
173,7.0
174,12.0
175,17.0
176,70.0
177,78.0
178,92.0
179,17.0
180,16.0
181,21.0
182,152.0
183,49.0
184,51.0
185,36.0
186,27.0
187,17.0
188,7.0
189,55.0
190,13.0
191,24.0
192,29.0
193,39.0
194,44.0
195,52.0
196,68.0
197,17.0
198,26.0
199,25.0
200,26.0
201,37.0
202,47.0
203,52.0
204,37.0
205,23.0
206,14.0
207,7.0
208,53.0
209,11.0
210,19.0
211,22.0
212,31.0
213,40.0
214,46.0
215,57.0
216,68.0
217,18.0
218,20.0
219,25.0
220,35.0
221,44.0
222,40.0
223,35.0
224,20.0
225,15.0
226,10.0
227,48.0
228,8.0
229,15.0
230,18.0
231,27.0
232,33.0
233,43.0
234,48.0
235,56.0
236,64.0
237,78.0
238,95.0
239,106.0
240,112.0
241,22.0
242,20.0
243,24.0
244,21.0
245,15.0
246,35.0
247,5.0
248,8.0
249,13.0
250,19.0
251,24.0
252,34.0
253,34.0
254,40.0
255,43.0
256,63.0
257,75.0
258,81.0
259,93.0
260,9.0
261,13.0
262,16.0
263,18.0
264,15.0
265,27.0
266,3.0
267,2.0
268,5.0
269,7.0
270,12.0
271,15.0
272,22.0
273,24.0
274,30.0
275,36.0
276,47.0
277,60.0
278,66.0
279,63.0
280,57.0
281,45.0
282,35.0
283,30.0
284,23.0
