Grid_Number,bank
0,7.0
1,15.0
2,20.0
3,28.0
4,27.0
5,38.0
6,47.0
7,48.0
8,42.0
9,36.0
10,25.0
11,18.0
12,9.0
13,5.0
14,5.0
15,2.0
16,1.0
17,1.0
18,2.0
19,2.0
20,1.0
21,3.0
22,13.0
23,15.0
24,14.0
25,13.0
26,9.0
27,8.0
28,6.0
29,8.0
30,7.0
31,4.0
32,1.0
33,1.0
34,2.0
35,1.0
36,1.0
37,1.0
38,16.0
39,39.0
40,49.0
41,71.0
42,97.0
43,97.0
44,76.0
45,74.0
46,73.0
47,76.0
48,68.0
49,55.0
50,40.0
51,25.0
52,19.0
53,19.0
54,27.0
55,28.0
56,23.0
57,18.0
58,22.0
59,30.0
60,27.0
61,31.0
62,34.0
63,35.0
64,29.0
65,24.0
66,18.0
67,12.0
68,18.0
69,27.0
70,34.0
71,26.0
72,16.0
73,11.0
74,4.0
75,1.0
76,39.0
77,57.0
78,93.0
79,135.0
80,166.0
81,174.0
82,159.0
83,125.0
84,129.0
85,134.0
86,125.0
87,107.0
88,86.0
89,72.0
90,79.0
91,68.0
92,55.0
93,57.0
94,62.0
95,53.0
96,46.0
97,45.0
98,48.0
99,50.0
100,45.0
101,45.0
102,48.0
103,53.0
104,46.0
105,45.0
106,50.0
107,49.0
108,49.0
109,44.0
110,34.0
111,24.0
112,13.0
113,5.0
114,51.0
115,88.0
116,119.0
117,156.0
118,174.0
119,190.0
120,196.0
121,46.0
122,175.0
123,180.0
124,177.0
125,156.0
126,145.0
127,130.0
128,128.0
129,115.0
130,91.0
131,81.0
132,85.0
133,90.0
134,91.0
135,92.0
136,87.0
137,77.0
138,76.0
139,80.0
140,85.0
141,95.0
142,91.0
143,88.0
144,86.0
145,85.0
146,84.0
147,71.0
148,61.0
149,52.0
150,34.0
151,16.0
152,70.0
153,97.0
154,137.0
155,158.0
156,180.0
157,197.0
158,63.0
159,56.0
160,48.0
161,212.0
162,25.0
163,37.0
164,173.0
165,178.0
166,169.0
167,150.0
168,150.0
169,122.0
170,119.0
171,126.0
172,137.0
173,133.0
174,132.0
175,129.0
176,125.0
177,134.0
178,141.0
179,133.0
180,136.0
181,13.0
182,118.0
183,117.0
184,120.0
185,112.0
186,100.0
187,87.0
188,68.0
189,39.0
190,83.0
191,100.0
192,47.0
193,79.0
194,87.0
195,93.0
196,68.0
197,77.0
198,57.0
199,63.0
200,57.0
201,64.0
202,57.0
203,207.0
204,210.0
205,209.0
206,41.0
207,174.0
208,40.0
209,176.0
210,179.0
211,184.0
212,184.0
213,171.0
214,39.0
215,164.0
216,165.0
217,172.0
218,161.0
219,29.0
220,160.0
221,35.0
222,34.0
223,36.0
224,137.0
225,113.0
226,104.0
227,66.0
228,83.0
229,99.0
230,129.0
231,73.0
232,93.0
233,85.0
234,63.0
235,63.0
236,49.0
237,60.0
238,73.0
239,85.0
240,71.0
241,238.0
242,243.0
243,240.0
244,53.0
245,53.0
246,56.0
247,43.0
248,33.0
249,39.0
250,41.0
251,39.0
252,49.0
253,35.0
254,35.0
255,43.0
256,38.0
257,44.0
258,51.0
259,46.0
260,47.0
261,52.0
262,150.0
263,125.0
264,110.0
265,87.0
266,82.0
267,94.0
268,120.0
269,140.0
270,161.0
271,60.0
272,31.0
273,35.0
274,33.0
275,56.0
276,57.0
277,75.0
278,67.0
279,60.0
280,55.0
281,47.0
282,55.0
283,72.0
284,47.0
285,46.0
286,49.0
287,46.0
288,53.0
289,52.0
290,50.0
291,54.0
292,53.0
293,48.0
294,60.0
295,49.0
296,43.0
297,38.0
298,58.0
299,177.0
300,149.0
301,134.0
302,108.0
303,88.0
304,72.0
305,84.0
306,109.0
307,125.0
308,145.0
309,159.0
310,191.0
311,193.0
312,188.0
313,25.0
314,32.0
315,26.0
316,49.0
317,59.0
318,59.0
319,57.0
320,289.0
321,60.0
322,61.0
323,50.0
324,53.0
325,55.0
326,66.0
327,71.0
328,55.0
329,47.0
330,46.0
331,45.0
332,60.0
333,46.0
334,211.0
335,41.0
336,56.0
337,57.0
338,56.0
339,134.0
340,105.0
341,86.0
342,13.0
343,64.0
344,86.0
345,104.0
346,114.0
347,124.0
348,136.0
349,148.0
350,118.0
351,150.0
352,171.0
353,191.0
354,24.0
355,41.0
356,49.0
357,44.0
358,63.0
359,70.0
360,71.0
361,55.0
362,42.0
363,59.0
364,64.0
365,66.0
366,47.0
367,236.0
368,215.0
369,191.0
370,46.0
371,39.0
372,33.0
373,31.0
374,34.0
375,50.0
376,51.0
377,51.0
378,34.0
379,78.0
380,2.0
381,8.0
382,48.0
383,60.0
384,64.0
385,76.0
386,73.0
387,63.0
388,76.0
389,87.0
390,129.0
391,156.0
392,165.0
393,33.0
394,41.0
395,45.0
396,52.0
397,69.0
398,68.0
399,51.0
400,48.0
401,57.0
402,67.0
403,46.0
404,246.0
405,229.0
406,199.0
407,172.0
408,22.0
409,152.0
410,26.0
411,20.0
412,174.0
413,150.0
414,125.0
415,103.0
416,27.0
417,66.0
418,4.0
419,4.0
420,4.0
421,8.0
422,12.0
423,10.0
424,9.0
425,16.0
426,27.0
427,51.0
428,64.0
429,95.0
430,125.0
431,177.0
432,31.0
433,236.0
434,56.0
435,52.0
436,52.0
437,43.0
438,48.0
439,57.0
440,56.0
441,262.0
442,242.0
443,219.0
444,193.0
445,144.0
446,132.0
447,125.0
448,123.0
449,130.0
450,130.0
451,121.0
452,107.0
453,94.0
454,78.0
455,55.0
456,4.0
457,4.0
458,4.0
459,4.0
460,4.0
461,2.0
462,1.0
463,2.0
464,2.0
465,15.0
466,34.0
467,1.0
468,6.0
469,14.0
470,180.0
471,36.0
472,50.0
473,48.0
474,71.0
475,67.0
476,77.0
477,63.0
478,56.0
479,278.0
480,254.0
481,225.0
482,182.0
483,147.0
484,119.0
485,84.0
486,76.0
487,79.0
488,86.0
489,86.0
490,85.0
491,78.0
492,55.0
493,33.0
494,4.0
495,4.0
496,4.0
497,4.0
498,4.0
499,2.0
500,1.0
501,1.0
502,1.0
503,1.0
504,20.0
505,1.0
506,1.0
507,8.0
508,154.0
509,204.0
510,48.0
511,56.0
512,62.0
513,71.0
514,79.0
515,70.0
516,256.0
517,253.0
518,224.0
519,186.0
520,159.0
521,139.0
522,124.0
523,103.0
524,81.0
525,62.0
526,54.0
527,47.0
528,45.0
529,41.0
530,30.0
531,26.0
532,4.0
533,4.0
534,4.0
535,4.0
536,4.0
537,3.0
538,1.0
539,1.0
540,1.0
541,1.0
542,8.0
543,29.0
544,65.0
545,96.0
546,123.0
547,155.0
548,50.0
549,54.0
550,55.0
551,61.0
552,67.0
553,52.0
554,235.0
555,222.0
556,199.0
557,165.0
558,165.0
559,156.0
560,144.0
561,137.0
562,108.0
563,79.0
564,60.0
565,39.0
566,19.0
567,13.0
568,9.0
569,9.0
570,4.0
571,4.0
572,4.0
573,4.0
574,4.0
575,3.0
576,1.0
577,1.0
578,1.0
579,1.0
580,2.0
581,12.0
582,49.0
583,79.0
584,89.0
585,125.0
586,40.0
587,39.0
588,42.0
589,211.0
590,222.0
591,213.0
592,45.0
593,47.0
594,166.0
595,50.0
596,171.0
597,150.0
598,156.0
599,155.0
600,130.0
601,105.0
602,80.0
603,62.0
604,48.0
605,20.0
606,14.0
607,13.0
608,5.0
609,0.0
610,0.0
611,7.0
612,7.0
613,6.0
614,1.0
615,1.0
616,1.0
617,1.0
618,2.0
619,6.0
620,33.0
621,62.0
622,76.0
623,96.0
624,31.0
625,140.0
626,162.0
627,167.0
628,175.0
629,179.0
630,178.0
631,153.0
632,49.0
633,48.0
634,50.0
635,41.0
636,198.0
637,196.0
638,189.0
639,174.0
640,133.0
641,107.0
642,84.0
643,67.0
644,44.0
645,27.0
646,0.0
647,0.0
648,0.0
649,0.0
650,6.0
651,6.0
652,4.0
653,1.0
654,1.0
655,1.0
656,3.0
657,4.0
658,24.0
659,38.0
660,48.0
661,57.0
662,92.0
663,113.0
664,123.0
665,129.0
666,143.0
667,137.0
668,130.0
669,135.0
670,146.0
671,151.0
672,51.0
673,54.0
674,206.0
675,210.0
676,200.0
677,202.0
678,172.0
679,144.0
680,113.0
681,79.0
682,59.0
683,37.0
684,0.0
685,0.0
686,0.0
687,7.0
688,7.0
689,4.0
690,4.0
691,1.0
692,1.0
693,1.0
694,1.0
695,3.0
696,19.0
697,21.0
698,37.0
699,41.0
700,45.0
701,50.0
702,79.0
703,99.0
704,83.0
705,75.0
706,99.0
707,120.0
708,127.0
709,149.0
710,173.0
711,198.0
712,62.0
713,209.0
714,204.0
715,202.0
716,186.0
717,162.0
718,127.0
719,90.0
720,63.0
721,49.0
722,7.0
723,7.0
724,7.0
725,7.0
726,6.0
727,4.0
728,4.0
729,4.0
730,1.0
731,1.0
732,1.0
733,2.0
734,3.0
735,19.0
736,24.0
737,30.0
738,35.0
739,34.0
740,34.0
741,30.0
742,25.0
743,36.0
744,55.0
745,87.0
746,112.0
747,137.0
748,168.0
749,201.0
750,201.0
751,197.0
752,197.0
753,197.0
754,178.0
755,171.0
756,130.0
757,92.0
758,65.0
759,50.0
760,6.0
761,6.0
762,6.0
763,5.0
764,5.0
765,5.0
766,4.0
767,4.0
768,1.0
769,1.0
770,1.0
771,2.0
772,2.0
773,2.0
774,19.0
775,19.0
776,21.0
777,20.0
778,16.0
779,2.0
780,7.0
781,17.0
782,27.0
783,50.0
784,74.0
785,117.0
786,158.0
787,173.0
788,179.0
789,188.0
790,191.0
791,188.0
792,170.0
793,161.0
794,129.0
795,90.0
796,63.0
797,50.0
798,5.0
799,5.0
800,5.0
801,5.0
802,5.0
803,5.0
804,4.0
805,4.0
806,1.0
807,1.0
808,1.0
809,1.0
810,2.0
811,2.0
812,3.0
813,3.0
814,5.0
