Grid_Number,department_store
0,2.0
1,3.0
2,6.0
3,6.0
4,8.0
5,11.0
6,12.0
7,12.0
8,11.0
9,10.0
10,5.0
11,4.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,4.0
23,4.0
24,4.0
25,5.0
26,4.0
27,4.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,4.0
39,5.0
40,9.0
41,13.0
42,19.0
43,18.0
44,16.0
45,15.0
46,13.0
47,14.0
48,10.0
49,6.0
50,3.0
51,3.0
52,3.0
53,4.0
54,3.0
55,3.0
56,1.0
57,2.0
58,2.0
59,5.0
60,7.0
61,12.0
62,13.0
63,12.0
64,10.0
65,9.0
66,5.0
67,3.0
68,2.0
69,3.0
70,5.0
71,4.0
72,4.0
73,3.0
74,1.0
75,1.0
76,6.0
77,8.0
78,13.0
79,21.0
80,25.0
81,25.0
82,22.0
83,21.0
84,18.0
85,18.0
86,15.0
87,12.0
88,9.0
89,7.0
90,10.0
91,10.0
92,11.0
93,11.0
94,14.0
95,10.0
96,5.0
97,11.0
98,18.0
99,19.0
100,18.0
101,18.0
102,18.0
103,17.0
104,15.0
105,9.0
106,9.0
107,10.0
108,7.0
109,7.0
110,5.0
111,5.0
112,4.0
113,1.0
114,8.0
115,10.0
116,15.0
117,21.0
118,25.0
119,25.0
120,26.0
121,6.0
122,21.0
123,20.0
124,20.0
125,14.0
126,18.0
127,18.0
128,19.0
129,22.0
130,20.0
131,19.0
132,17.0
133,20.0
134,22.0
135,28.0
136,27.0
137,26.0
138,26.0
139,23.0
140,26.0
141,25.0
142,20.0
143,17.0
144,14.0
145,14.0
146,14.0
147,10.0
148,9.0
149,6.0
150,6.0
151,5.0
152,8.0
153,10.0
154,18.0
155,22.0
156,25.0
157,26.0
158,3.0
159,4.0
160,1.0
161,24.0
162,1.0
163,1.0
164,25.0
165,28.0
166,28.0
167,29.0
168,26.0
169,28.0
170,25.0
171,23.0
172,29.0
173,35.0
174,33.0
175,32.0
176,31.0
177,31.0
178,28.0
179,31.0
180,31.0
181,1.0
182,1.0
183,22.0
184,21.0
185,18.0
186,14.0
187,12.0
188,10.0
189,6.0
190,9.0
191,11.0
192,2.0
193,3.0
194,3.0
195,2.0
196,4.0
197,3.0
198,1.0
199,1.0
200,2.0
201,1.0
202,1.0
203,31.0
204,32.0
205,33.0
206,2.0
207,30.0
208,1.0
209,30.0
210,31.0
211,38.0
212,37.0
213,36.0
214,3.0
215,37.0
216,36.0
217,41.0
218,39.0
219,2.0
220,2.0
221,1.0
222,2.0
223,3.0
224,21.0
225,18.0
226,13.0
227,10.0
228,9.0
229,11.0
230,14.0
231,3.0
232,3.0
233,2.0
234,3.0
235,2.0
236,1.0
237,3.0
238,2.0
239,1.0
240,4.0
241,3.0
242,33.0
243,34.0
244,5.0
245,6.0
246,4.0
247,4.0
248,1.0
249,2.0
250,1.0
251,5.0
252,5.0
253,4.0
254,1.0
255,2.0
256,1.0
257,5.0
258,1.0
259,2.0
260,2.0
261,1.0
262,26.0
263,22.0
264,19.0
265,14.0
266,9.0
267,11.0
268,13.0
269,16.0
270,18.0
271,1.0
272,1.0
273,1.0
274,1.0
275,2.0
276,2.0
277,1.0
278,2.0
279,4.0
280,6.0
281,5.0
282,2.0
283,1.0
284,2.0
285,4.0
286,5.0
287,7.0
288,3.0
289,4.0
290,1.0
291,3.0
292,1.0
293,2.0
294,2.0
295,2.0
296,1.0
297,3.0
298,2.0
299,35.0
300,26.0
301,23.0
302,20.0
303,14.0
304,7.0
305,10.0
306,11.0
307,14.0
308,15.0
309,17.0
310,17.0
311,18.0
312,16.0
313,1.0
314,1.0
315,2.0
316,1.0
317,4.0
318,3.0
319,4.0
320,47.0
321,2.0
322,1.0
323,1.0
324,1.0
325,1.0
326,2.0
327,2.0
328,2.0
329,1.0
330,1.0
331,1.0
332,3.0
333,5.0
334,40.0
335,3.0
336,1.0
337,5.0
338,3.0
339,25.0
340,19.0
341,15.0
342,3.0
343,6.0
344,9.0
345,9.0
346,11.0
347,12.0
348,13.0
349,13.0
350,11.0
351,12.0
352,16.0
353,24.0
354,1.0
355,2.0
356,3.0
357,2.0
358,1.0
359,2.0
360,1.0
361,1.0
362,1.0
363,1.0
364,3.0
365,2.0
366,3.0
367,43.0
368,44.0
369,36.0
370,7.0
371,3.0
372,2.0
373,2.0
374,4.0
375,5.0
376,2.0
377,3.0
378,3.0
379,14.0
380,1.0
381,2.0
382,4.0
383,5.0
384,6.0
385,6.0
386,6.0
387,6.0
388,6.0
389,7.0
390,12.0
391,18.0
392,22.0
393,1.0
394,1.0
395,1.0
396,1.0
397,4.0
398,4.0
399,1.0
400,1.0
401,1.0
402,2.0
403,1.0
404,34.0
405,33.0
406,29.0
407,27.0
408,7.0
409,31.0
410,1.0
411,2.0
412,34.0
413,28.0
414,22.0
415,18.0
416,3.0
417,10.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,3.0
427,3.0
428,7.0
429,10.0
430,16.0
431,28.0
432,1.0
433,42.0
434,2.0
435,3.0
436,4.0
437,3.0
438,1.0
439,1.0
440,2.0
441,26.0
442,25.0
443,27.0
444,25.0
445,25.0
446,20.0
447,24.0
448,27.0
449,27.0
450,27.0
451,23.0
452,19.0
453,17.0
454,15.0
455,9.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,2.0
466,4.0
467,0.0
468,0.0
469,1.0
470,31.0
471,2.0
472,3.0
473,6.0
474,2.0
475,2.0
476,1.0
477,2.0
478,3.0
479,29.0
480,24.0
481,27.0
482,21.0
483,20.0
484,20.0
485,20.0
486,22.0
487,21.0
488,19.0
489,18.0
490,15.0
491,15.0
492,9.0
493,9.0
494,0.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,1.0
503,1.0
504,1.0
505,0.0
506,0.0
507,0.0
508,23.0
509,31.0
510,2.0
511,2.0
512,2.0
513,6.0
514,2.0
515,1.0
516,28.0
517,26.0
518,25.0
519,24.0
520,25.0
521,23.0
522,20.0
523,17.0
524,16.0
525,14.0
526,10.0
527,10.0
528,12.0
529,8.0
530,8.0
531,6.0
532,0.0
533,0.0
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,7.0
545,16.0
546,19.0
547,24.0
548,2.0
549,2.0
550,1.0
551,1.0
552,3.0
553,3.0
554,2.0
555,26.0
556,21.0
557,23.0
558,22.0
559,22.0
560,19.0
561,15.0
562,16.0
563,12.0
564,8.0
565,9.0
566,6.0
567,5.0
568,4.0
569,4.0
570,0.0
571,0.0
572,0.0
573,1.0
574,1.0
575,1.0
576,0.0
577,1.0
578,1.0
579,1.0
580,1.0
581,1.0
582,8.0
