Grid_Number,police
0,2.0
1,3.0
2,6.0
3,8.0
4,12.0
5,21.0
6,27.0
7,27.0
8,25.0
9,21.0
10,19.0
11,15.0
12,13.0
13,9.0
14,3.0
15,2.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,3.0
23,3.0
24,5.0
25,5.0
26,3.0
27,2.0
28,3.0
29,4.0
30,8.0
31,9.0
32,6.0
33,6.0
34,2.0
35,2.0
36,2.0
37,2.0
38,3.0
39,5.0
40,11.0
41,25.0
42,35.0
43,43.0
44,47.0
45,47.0
46,49.0
47,47.0
48,40.0
49,21.0
50,18.0
51,17.0
52,15.0
53,6.0
54,5.0
55,7.0
56,5.0
57,9.0
58,7.0
59,9.0
60,13.0
61,12.0
62,10.0
63,8.0
64,7.0
65,7.0
66,7.0
67,10.0
68,12.0
69,12.0
70,12.0
71,10.0
72,6.0
73,3.0
74,2.0
75,2.0
76,6.0
77,17.0
78,29.0
79,57.0
80,83.0
81,94.0
82,94.0
83,86.0
84,82.0
85,77.0
86,64.0
87,49.0
88,32.0
89,27.0
90,31.0
91,29.0
92,20.0
93,22.0
94,22.0
95,23.0
96,21.0
97,21.0
98,17.0
99,18.0
100,15.0
101,15.0
102,15.0
103,17.0
104,16.0
105,16.0
106,16.0
107,16.0
108,14.0
109,14.0
110,10.0
111,7.0
112,3.0
113,2.0
114,11.0
115,26.0
116,48.0
117,77.0
118,98.0
119,105.0
120,109.0
121,25.0
122,108.0
123,102.0
124,93.0
125,69.0
126,54.0
127,53.0
128,48.0
129,49.0
130,39.0
131,39.0
132,37.0
133,34.0
134,30.0
135,32.0
136,32.0
137,25.0
138,28.0
139,23.0
140,27.0
141,28.0
142,30.0
143,24.0
144,25.0
145,23.0
146,18.0
147,16.0
148,16.0
149,13.0
150,11.0
151,5.0
152,18.0
153,35.0
154,59.0
155,91.0
156,104.0
157,109.0
158,45.0
159,43.0
160,26.0
161,126.0
162,18.0
163,17.0
164,75.0
165,78.0
166,78.0
167,76.0
168,63.0
169,54.0
170,53.0
171,47.0
172,54.0
173,48.0
174,43.0
175,44.0
176,46.0
177,42.0
178,40.0
179,39.0
180,36.0
181,6.0
182,6.0
183,33.0
184,30.0
185,28.0
186,27.0
187,16.0
188,13.0
189,8.0
190,25.0
191,39.0
192,11.0
193,26.0
194,38.0
195,54.0
196,64.0
197,53.0
198,40.0
199,25.0
200,26.0
201,26.0
202,25.0
203,92.0
204,99.0
205,100.0
206,13.0
207,68.0
208,14.0
209,66.0
210,65.0
211,63.0
212,61.0
213,60.0
214,12.0
215,53.0
216,59.0
217,54.0
218,51.0
219,9.0
220,10.0
221,12.0
222,8.0
223,8.0
224,35.0
225,26.0
226,21.0
227,11.0
228,25.0
229,40.0
230,61.0
231,26.0
232,39.0
233,56.0
234,61.0
235,51.0
236,37.0
237,24.0
238,24.0
239,38.0
240,31.0
241,20.0
242,105.0
243,109.0
244,19.0
245,23.0
246,22.0
247,19.0
248,14.0
249,11.0
250,15.0
251,17.0
252,11.0
253,11.0
254,10.0
255,10.0
256,10.0
257,13.0
258,13.0
259,13.0
260,10.0
261,8.0
262,37.0
263,28.0
264,26.0
265,19.0
266,25.0
267,40.0
268,55.0
269,78.0
270,95.0
271,42.0
272,41.0
273,36.0
274,23.0
275,20.0
276,24.0
277,28.0
278,31.0
279,34.0
280,28.0
281,27.0
282,27.0
283,28.0
284,28.0
285,19.0
286,15.0
287,14.0
288,16.0
289,22.0
290,23.0
291,19.0
292,17.0
293,12.0
294,17.0
295,13.0
296,15.0
297,12.0
298,11.0
299,53.0
300,41.0
301,31.0
302,24.0
303,19.0
304,14.0
305,27.0
306,50.0
307,67.0
308,82.0
309,97.0
310,106.0
311,112.0
312,123.0
313,6.0
314,17.0
315,22.0
316,28.0
317,33.0
318,30.0
319,32.0
320,121.0
321,23.0
322,21.0
323,14.0
324,10.0
325,18.0
326,17.0
327,25.0
328,23.0
329,17.0
330,19.0
331,15.0
332,16.0
333,16.0
334,61.0
335,15.0
336,15.0
337,14.0
338,15.0
339,32.0
340,24.0
341,21.0
342,8.0
343,24.0
344,39.0
345,52.0
346,67.0
347,77.0
348,86.0
349,88.0
350,85.0
351,82.0
352,87.0
353,88.0
354,15.0
355,24.0
356,24.0
357,23.0
358,25.0
359,21.0
360,21.0
361,12.0
362,11.0
363,13.0
364,25.0
365,32.0
366,18.0
367,74.0
368,77.0
369,66.0
370,10.0
371,16.0
372,19.0
373,18.0
374,17.0
375,12.0
376,16.0
377,12.0
378,9.0
379,20.0
380,1.0
381,7.0
382,18.0
383,34.0
384,45.0
385,52.0
386,57.0
387,54.0
388,52.0
389,54.0
390,64.0
391,68.0
392,82.0
393,18.0
394,16.0
395,23.0
396,25.0
397,27.0
398,25.0
399,14.0
400,11.0
401,11.0
402,19.0
403,22.0
404,73.0
405,70.0
406,71.0
407,63.0
408,9.0
409,47.0
410,14.0
411,13.0
412,44.0
413,41.0
414,36.0
415,26.0
416,6.0
417,17.0
418,2.0
419,2.0
420,2.0
421,2.0
422,4.0
423,11.0
424,15.0
425,13.0
426,15.0
427,26.0
428,40.0
429,51.0
430,70.0
431,86.0
432,13.0
433,116.0
434,28.0
435,28.0
436,23.0
437,15.0
438,11.0
439,13.0
440,21.0
441,81.0
442,78.0
443,71.0
444,59.0
445,60.0
446,41.0
447,36.0
448,38.0
449,38.0
450,39.0
451,34.0
452,34.0
453,26.0
454,20.0
455,16.0
456,2.0
457,2.0
458,2.0
459,2.0
460,2.0
461,2.0
462,3.0
463,4.0
464,6.0
465,12.0
466,23.0
467,3.0
468,5.0
469,8.0
470,95.0
471,18.0
472,28.0
473,35.0
474,29.0
475,20.0
476,18.0
477,14.0
478,21.0
479,89.0
480,74.0
481,64.0
482,61.0
483,46.0
484,34.0
485,29.0
486,31.0
487,30.0
488,28.0
489,25.0
490,23.0
491,21.0
492,17.0
493,10.0
494,2.0
495,2.0
496,2.0
497,2.0
498,3.0
499,4.0
500,3.0
501,3.0
502,5.0
503,6.0
504,12.0
505,3.0
506,5.0
507,8.0
508,82.0
509,89.0
510,26.0
511,26.0
512,27.0
513,23.0
514,19.0
515,17.0
516,75.0
517,73.0
518,64.0
519,62.0
520,52.0
521,36.0
522,31.0
523,31.0
524,27.0
525,21.0
526,21.0
527,17.0
528,16.0
529,11.0
530,7.0
531,6.0
532,2.0
533,2.0
534,2.0
535,2.0
536,4.0
537,4.0
538,3.0
539,3.0
540,4.0
541,6.0
542,8.0
543,16.0
544,34.0
545,45.0
546,62.0
547,81.0
548,27.0
549,25.0
550,26.0
551,21.0
552,19.0
553,12.0
554,17.0
555,68.0
556,56.0
557,56.0
558,55.0
559,36.0
560,31.0
561,30.0
562,28.0
563,21.0
564,12.0
565,8.0
566,3.0
567,3.0
568,3.0
569,3.0
570,2.0
571,2.0
572,2.0
573,3.0
574,4.0
575,4.0
576,4.0
577,3.0
578,3.0
579,5.0
580,8.0
581,17.0
582,26.0
