Grid_Number,train_station
0,1.0
1,1.0
2,1.0
3,1.0
4,2.0
5,3.0
6,4.0
7,4.0
8,3.0
9,3.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.0
38,1.0
39,1.0
40,2.0
41,4.0
42,5.0
43,6.0
44,6.0
45,6.0
46,5.0
47,5.0
48,5.0
49,3.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,2.0
78,4.0
79,6.0
80,8.0
81,10.0
82,12.0
83,12.0
84,12.0
85,11.0
86,10.0
87,8.0
88,6.0
89,4.0
90,1.0
91,2.0
92,4.0
93,4.0
94,3.0
95,2.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,3.0
116,5.0
117,7.0
118,10.0
119,13.0
120,15.0
121,1.0
122,18.0
123,17.0
124,15.0
125,13.0
126,11.0
127,11.0
128,10.0
129,7.0
130,6.0
131,6.0
132,7.0
133,7.0
134,5.0
135,4.0
136,3.0
137,4.0
138,3.0
139,2.0
140,2.0
141,2.0
142,3.0
143,2.0
144,2.0
145,2.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,2.0
153,4.0
154,6.0
155,10.0
156,12.0
157,14.0
158,2.0
159,3.0
160,2.0
161,21.0
162,1.0
163,1.0
164,19.0
165,17.0
166,16.0
167,14.0
168,10.0
169,8.0
170,7.0
171,7.0
172,7.0
173,7.0
174,5.0
175,4.0
176,5.0
177,4.0
178,3.0
179,4.0
180,3.0
181,0.0
182,4.0
183,3.0
184,4.0
185,3.0
186,3.0
187,3.0
188,2.0
189,2.0
190,2.0
191,4.0
192,1.0
193,1.0
194,2.0
195,2.0
196,2.0
197,2.0
198,2.0
199,2.0
200,2.0
201,1.0
202,1.0
203,22.0
204,20.0
205,20.0
206,1.0
207,13.0
