Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,9,14,0,5,5
Chennai,9,14,0,4,7
Delhi,6,3,0,1,1
Gurgaon,6,4,0,1,1
Hyderabad,10,15,0,3,4
Kolkata,10,13,0,2,8
Mumbai,8,13,0,3,7
