Grid_Number,Utilities
0,4.0
1,1.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,2.0
8,1.0
9,6.0
10,2.0
11,0.0
12,0.0
13,3.0
14,2.0
15,0.0
16,3.0
17,5.0
18,2.0
19,8.0
20,2.0
21,0.0
22,0.0
23,0.0
24,0.0
25,6.0
26,0.0
27,8.0
28,12.0
29,4.0
30,14.0
31,2.0
32,7.0
33,5.0
34,3.0
35,0.0
36,2.0
37,3.0
38,12.0
39,6.0
40,15.0
41,20.0
42,1.0
43,1.0
44,1.0
45,10.0
46,16.0
47,13.0
48,9.0
49,8.0
50,8.0
51,12.0
52,9.0
53,3.0
54,8.0
55,0.0
56,0.0
57,4.0
58,15.0
59,9.0
60,13.0
61,5.0
62,5.0
63,7.0
64,2.0
65,13.0
66,18.0
67,10.0
68,19.0
69,7.0
70,15.0
71,5.0
72,0.0
73,3.0
74,3.0
75,1.0
76,3.0
77,10.0
78,11.0
79,15.0
80,22.0
81,6.0
82,5.0
83,4.0
84,4.0
85,9.0
86,10.0
87,2.0
88,9.0
89,10.0
90,10.0
91,10.0
92,11.0
93,13.0
94,7.0
95,3.0
96,1.0
97,15.0
98,13.0
99,19.0
100,4.0
101,2.0
102,21.0
103,6.0
104,14.0
105,21.0
106,12.0
107,15.0
108,6.0
109,4.0
110,5.0
111,5.0
112,6.0
113,1.0
114,0.0
115,0.0
116,10.0
117,22.0
118,1.0
119,2.0
120,4.0
121,19.0
122,21.0
123,13.0
124,19.0
125,10.0
126,7.0
127,15.0
128,10.0
129,0.0
130,15.0
131,20.0
132,1.0
133,4.0
134,6.0
135,5.0
136,8.0
137,1.0
138,1.0
139,4.0
140,1.0
141,9.0
142,6.0
143,6.0
144,6.0
145,4.0
146,8.0
147,5.0
148,2.0
149,14.0
150,3.0
151,0.0
152,7.0
153,11.0
154,0.0
155,7.0
156,1.0
157,2.0
158,6.0
159,3.0
160,3.0
161,3.0
162,5.0
163,7.0
164,2.0
165,10.0
166,11.0
167,4.0
168,9.0
169,7.0
170,7.0
171,2.0
172,10.0
173,13.0
174,11.0
175,13.0
176,19.0
177,3.0
178,6.0
179,11.0
180,10.0
181,12.0
182,4.0
183,9.0
184,23.0
185,14.0
186,2.0
187,7.0
188,6.0
189,12.0
190,1.0
191,1.0
192,13.0
193,12.0
194,12.0
195,6.0
196,2.0
197,11.0
198,10.0
199,11.0
200,11.0
201,7.0
202,8.0
203,10.0
204,8.0
205,1.0
206,4.0
207,6.0
208,1.0
209,0.0
210,0.0
211,0.0
212,0.0
213,3.0
214,0.0
215,5.0
216,3.0
217,11.0
218,10.0
219,10.0
220,6.0
221,3.0
222,3.0
223,11.0
224,4.0
225,4.0
226,7.0
227,2.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,2.0
239,1.0
240,0.0
241,5.0
242,56.0
243,9.0
244,24.0
245,4.0
246,4.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,9.0
262,5.0
263,10.0
264,9.0
265,8.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
