Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,11,15,0,6,5
Chennai,9,17,0,4,8
Delhi,6,4,0,1,1
Gurgaon,9,9,0,2,2
Hyderabad,10,13,0,2,3
Kolkata,10,13,0,2,8
Mumbai,12,20,0,4,9
