Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,14,17,0,8,5
Chennai,16,23,1,9,7
Delhi,8,9,0,3,4
Gurgaon,8,13,0,2,3
Hyderabad,14,20,0,4,6
Kolkata,13,30,1,8,14
Mumbai,8,17,1,5,9
