Grid_Number,Government_Facilities
0,0.0
1,0.0
2,4.0
3,0.0
4,0.0
5,1.0
6,4.0
7,3.0
8,0.0
9,2.0
10,2.0
11,2.0
12,5.0
13,0.0
14,0.0
15,0.0
16,0.0
17,2.0
18,4.0
19,9.0
20,2.0
21,3.0
22,0.0
23,7.0
24,3.0
25,5.0
26,1.0
27,1.0
28,1.0
29,4.0
30,1.0
31,2.0
32,1.0
33,4.0
34,3.0
35,9.0
36,3.0
37,6.0
38,2.0
39,2.0
40,0.0
41,2.0
42,2.0
43,10.0
44,5.0
45,5.0
46,8.0
47,4.0
48,9.0
49,7.0
50,3.0
51,8.0
52,3.0
53,4.0
54,1.0
55,0.0
56,10.0
57,8.0
58,3.0
59,1.0
60,9.0
61,4.0
62,0.0
63,18.0
64,6.0
65,6.0
66,13.0
67,4.0
68,2.0
69,0.0
70,3.0
71,6.0
72,14.0
73,9.0
74,23.0
75,15.0
76,1.0
77,16.0
78,11.0
79,8.0
80,13.0
81,4.0
82,2.0
83,5.0
84,2.0
85,13.0
86,8.0
87,56.0
88,6.0
89,0.0
90,3.0
91,2.0
92,14.0
93,34.0
94,7.0
95,3.0
96,7.0
97,3.0
98,16.0
99,11.0
100,19.0
101,21.0
102,21.0
103,17.0
104,5.0
105,47.0
106,35.0
107,17.0
108,12.0
109,12.0
110,6.0
111,12.0
112,2.0
113,16.0
114,13.0
115,14.0
116,22.0
117,39.0
118,41.0
119,52.0
120,43.0
121,16.0
122,9.0
123,2.0
124,7.0
125,5.0
126,5.0
127,21.0
128,20.0
129,22.0
130,9.0
131,45.0
132,18.0
133,36.0
134,20.0
135,24.0
136,19.0
137,12.0
138,1.0
139,1.0
140,18.0
141,5.0
142,16.0
143,7.0
144,12.0
145,11.0
146,15.0
147,22.0
148,10.0
149,25.0
150,16.0
151,20.0
152,8.0
153,5.0
154,14.0
155,6.0
156,16.0
157,6.0
158,13.0
159,5.0
160,7.0
161,8.0
162,6.0
163,9.0
164,11.0
165,8.0
166,10.0
167,9.0
168,13.0
169,12.0
170,33.0
171,7.0
172,2.0
173,4.0
174,5.0
175,12.0
176,13.0
177,11.0
178,11.0
179,7.0
180,6.0
181,18.0
182,13.0
183,4.0
184,19.0
185,0.0
186,1.0
187,1.0
188,1.0
189,1.0
190,5.0
191,15.0
192,17.0
193,21.0
194,9.0
195,12.0
