Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,9,15,0,7,5
Chennai,10,16,0,6,7
Delhi,6,4,0,2,2
Gurgaon,3,1,0,1,1
Hyderabad,10,18,0,2,4
Kolkata,13,19,0,4,9
Mumbai,6,9,1,2,6
