Grid_Number,Utilities
0,1.0
1,2.0
2,2.0
3,1.0
4,2.0
5,5.0
6,0.0
7,2.0
8,1.0
9,1.0
10,0.0
11,5.0
12,2.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,2.0
19,5.0
20,0.0
21,1.0
22,0.0
23,2.0
24,0.0
25,1.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.0
31,1.0
32,0.0
33,4.0
34,0.0
35,1.0
36,0.0
37,1.0
38,2.0
39,0.0
40,0.0
41,0.0
42,4.0
43,4.0
44,2.0
45,0.0
46,0.0
47,0.0
48,1.0
49,0.0
50,1.0
51,3.0
52,3.0
53,2.0
54,0.0
55,0.0
56,8.0
57,10.0
58,1.0
59,0.0
60,3.0
61,0.0
62,0.0
63,3.0
64,2.0
65,2.0
66,2.0
67,2.0
68,0.0
69,1.0
70,3.0
71,5.0
72,4.0
73,3.0
74,3.0
75,2.0
76,1.0
77,4.0
78,3.0
79,4.0
80,3.0
81,1.0
82,1.0
83,2.0
84,3.0
85,6.0
86,4.0
87,0.0
88,1.0
89,0.0
90,1.0
91,0.0
92,2.0
93,8.0
94,2.0
95,0.0
96,3.0
97,0.0
98,2.0
99,5.0
100,14.0
101,8.0
102,8.0
103,3.0
104,3.0
105,1.0
106,5.0
107,4.0
108,6.0
109,5.0
110,2.0
111,1.0
112,4.0
113,12.0
114,6.0
115,4.0
116,6.0
117,3.0
118,15.0
119,24.0
120,25.0
121,31.0
122,4.0
123,0.0
124,2.0
125,4.0
126,3.0
127,5.0
128,8.0
129,8.0
130,6.0
131,9.0
132,8.0
133,11.0
134,11.0
135,6.0
136,5.0
137,0.0
138,1.0
139,0.0
140,3.0
141,1.0
142,5.0
143,11.0
144,9.0
145,3.0
146,6.0
147,1.0
148,7.0
149,7.0
150,8.0
151,8.0
152,1.0
153,2.0
154,1.0
155,4.0
156,2.0
157,5.0
158,10.0
159,2.0
160,3.0
161,1.0
162,1.0
163,3.0
164,4.0
165,2.0
166,3.0
167,5.0
168,3.0
169,1.0
170,5.0
171,6.0
172,2.0
173,0.0
174,2.0
175,3.0
176,2.0
177,5.0
178,1.0
179,0.0
180,1.0
181,3.0
182,3.0
183,3.0
184,2.0
185,1.0
186,3.0
187,1.0
188,2.0
189,3.0
190,3.0
191,1.0
192,3.0
193,6.0
194,3.0
195,4.0
