Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,1,6,4,7,3
Chennai,1,2,4,7,3
Delhi,29,35,36,35,39
Gurgaon,5,9,5,3,8
Hyderabad,2,1,3,0,4
Kolkata,0,2,1,4,6
Mumbai,9,10,3,15,16
