Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,114,111,0,6,36
Chennai,136,169,1,4,86
Delhi,62,24,0,2,16
Gurgaon,71,44,0,2,18
Kolkata,116,63,1,3,46
Mumbai,122,185,1,6,84
