Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,4,6,0,2,3
Chennai,3,5,1,0,6
Delhi,2,0,0,0,0
Gurgaon,3,1,0,0,0
Kolkata,2,2,0,0,1
Mumbai,6,6,0,2,5
