Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,129,199,0,12,73
Chennai,138,198,1,12,72
Delhi,105,71,0,5,23
Gurgaon,47,24,0,3,21
Hyderabad,145,215,0,7,49
Kolkata,152,249,1,9,152
Mumbai,128,208,1,8,107
