Grid_Number,Government_Facilities
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,3.0
8,0.0
9,2.0
10,0.0
11,3.0
12,0.0
13,0.0
14,0.0
15,3.0
16,3.0
17,0.0
18,0.0
19,3.0
20,0.0
21,0.0
22,4.0
23,0.0
24,0.0
25,1.0
26,7.0
27,10.0
28,15.0
29,5.0
30,19.0
31,7.0
32,22.0
33,15.0
34,11.0
35,0.0
36,0.0
37,0.0
38,11.0
39,8.0
40,11.0
41,20.0
42,2.0
43,0.0
44,4.0
45,4.0
46,12.0
47,20.0
48,7.0
49,6.0
50,3.0
51,23.0
52,13.0
53,11.0
54,8.0
55,0.0
56,0.0
57,5.0
58,7.0
59,7.0
60,15.0
61,17.0
62,5.0
63,15.0
64,3.0
65,9.0
66,14.0
67,17.0
68,8.0
69,12.0
70,12.0
71,13.0
72,2.0
73,1.0
74,0.0
75,0.0
76,7.0
77,9.0
78,1.0
79,12.0
80,14.0
81,14.0
82,20.0
83,12.0
84,11.0
85,25.0
86,7.0
87,10.0
88,19.0
89,16.0
90,17.0
91,25.0
92,6.0
93,7.0
94,1.0
95,1.0
96,5.0
97,4.0
98,6.0
99,9.0
100,7.0
101,17.0
102,15.0
103,31.0
104,19.0
105,21.0
106,15.0
107,20.0
108,17.0
109,12.0
110,11.0
111,7.0
112,8.0
113,1.0
114,0.0
115,2.0
116,8.0
117,13.0
118,0.0
119,2.0
120,21.0
121,38.0
122,23.0
123,14.0
124,14.0
125,14.0
126,26.0
127,8.0
128,14.0
129,2.0
130,11.0
131,8.0
132,2.0
133,2.0
134,1.0
135,0.0
136,5.0
137,2.0
138,2.0
139,4.0
140,18.0
141,30.0
142,25.0
143,19.0
144,16.0
145,10.0
146,14.0
147,9.0
148,5.0
149,18.0
150,4.0
151,2.0
152,4.0
153,18.0
154,9.0
155,5.0
156,5.0
157,7.0
158,11.0
159,13.0
160,32.0
161,18.0
162,25.0
163,31.0
164,13.0
165,10.0
166,13.0
167,17.0
168,16.0
169,5.0
170,0.0
171,9.0
172,8.0
173,10.0
174,12.0
175,13.0
176,22.0
177,5.0
178,20.0
179,30.0
180,19.0
181,21.0
182,22.0
183,22.0
184,18.0
185,16.0
186,7.0
187,11.0
188,8.0
189,1.0
190,1.0
191,0.0
192,7.0
193,7.0
194,9.0
195,7.0
196,7.0
197,18.0
198,18.0
199,18.0
200,16.0
201,31.0
202,18.0
203,17.0
204,4.0
205,3.0
206,5.0
207,4.0
208,1.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,2.0
215,14.0
216,15.0
217,25.0
218,14.0
219,19.0
220,26.0
221,8.0
222,32.0
223,7.0
224,4.0
225,4.0
226,5.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,3.0
239,13.0
240,5.0
241,30.0
242,42.0
243,11.0
244,20.0
245,8.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,1.0
261,31.0
262,9.0
263,17.0
264,7.0
265,1.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
