Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,10,22,0,8,11
Chennai,16,34,0,9,14
Delhi,9,11,0,5,4
Gurgaon,14,19,0,8,6
Hyderabad,13,19,0,5,5
Kolkata,11,26,0,6,17
Mumbai,17,48,1,9,14
