Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,137,229,0,17,84
Chennai,152,214,1,15,100
Delhi,130,138,0,8,57
Gurgaon,132,161,0,7,51
Hyderabad,160,245,1,11,100
Kolkata,172,299,1,16,212
Mumbai,132,247,2,11,118
