Grid_Number,Education
0,13.0
1,11.0
2,14.0
3,19.0
4,15.0
5,8.0
6,2.0
7,21.0
8,12.0
9,10.0
10,11.0
11,21.0
12,15.0
13,1.0
14,0.0
15,8.0
16,13.0
17,9.0
18,13.0
19,29.0
20,11.0
21,24.0
22,12.0
23,28.0
24,8.0
25,26.0
26,6.0
27,5.0
28,10.0
29,8.0
30,16.0
31,3.0
32,16.0
33,19.0
34,2.0
35,26.0
36,11.0
37,14.0
38,22.0
39,15.0
40,1.0
41,7.0
42,30.0
43,22.0
44,13.0
45,2.0
46,10.0
47,8.0
48,22.0
49,8.0
50,11.0
51,24.0
52,11.0
53,20.0
54,8.0
55,0.0
56,16.0
57,12.0
58,11.0
59,2.0
60,12.0
61,5.0
62,13.0
63,30.0
64,7.0
65,13.0
66,16.0
67,10.0
68,10.0
69,6.0
70,14.0
71,14.0
72,17.0
73,24.0
74,34.0
75,19.0
76,1.0
77,17.0
78,13.0
79,20.0
80,18.0
81,13.0
82,24.0
83,22.0
84,13.0
85,17.0
86,11.0
87,1.0
88,7.0
89,2.0
90,6.0
91,2.0
92,12.0
93,21.0
94,18.0
95,11.0
96,13.0
97,8.0
98,9.0
99,20.0
100,18.0
101,13.0
102,37.0
103,4.0
104,4.0
105,6.0
106,3.0
107,9.0
108,27.0
109,11.0
110,21.0
111,16.0
112,4.0
113,26.0
114,20.0
115,8.0
116,14.0
117,21.0
118,35.0
119,26.0
120,13.0
121,7.0
122,14.0
123,3.0
124,25.0
125,24.0
126,13.0
127,19.0
128,17.0
129,14.0
130,15.0
131,20.0
132,11.0
133,18.0
134,20.0
135,10.0
136,33.0
137,10.0
138,0.0
139,1.0
140,20.0
141,11.0
142,13.0
143,9.0
144,17.0
145,9.0
146,16.0
147,21.0
148,14.0
149,17.0
150,18.0
151,21.0
152,10.0
153,22.0
154,20.0
155,12.0
156,18.0
157,13.0
158,17.0
159,5.0
160,18.0
161,6.0
162,15.0
163,13.0
164,14.0
165,11.0
166,14.0
167,17.0
168,13.0
169,23.0
170,20.0
171,34.0
172,22.0
173,0.0
174,9.0
175,20.0
176,9.0
177,9.0
178,13.0
179,6.0
180,3.0
181,2.0
182,11.0
183,5.0
184,2.0
185,2.0
186,13.0
187,1.0
188,5.0
189,22.0
190,11.0
191,21.0
192,14.0
193,18.0
194,3.0
195,1.0
