Grid_Number,Health
0,0.0
1,0.0
2,1.0
3,0.0
4,1.0
5,1.0
6,14.0
7,8.0
8,1.0
9,0.0
10,9.0
11,43.0
12,11.0
13,14.0
14,2.0
15,34.0
16,22.0
17,3.0
18,9.0
19,0.0
20,0.0
21,0.0
22,2.0
23,2.0
24,2.0
25,3.0
26,35.0
27,5.0
28,0.0
29,7.0
30,39.0
31,12.0
32,1.0
33,23.0
34,48.0
35,12.0
36,5.0
37,8.0
38,0.0
39,0.0
40,2.0
41,5.0
42,4.0
43,1.0
44,2.0
45,2.0
46,1.0
47,11.0
48,12.0
49,29.0
50,10.0
51,22.0
52,37.0
53,5.0
54,37.0
55,2.0
56,0.0
57,0.0
58,0.0
59,2.0
60,3.0
61,6.0
62,11.0
63,11.0
64,8.0
65,28.0
66,16.0
67,27.0
68,40.0
69,64.0
70,9.0
71,24.0
72,14.0
73,29.0
74,3.0
75,4.0
76,0.0
77,1.0
78,2.0
79,8.0
80,3.0
81,14.0
82,16.0
83,70.0
84,19.0
85,23.0
86,54.0
87,4.0
88,11.0
89,31.0
90,24.0
91,15.0
92,44.0
93,19.0
94,12.0
95,1.0
96,10.0
97,11.0
98,16.0
99,3.0
100,8.0
101,12.0
102,26.0
103,12.0
104,28.0
105,40.0
106,6.0
107,26.0
108,39.0
109,45.0
110,25.0
111,26.0
112,1.0
113,0.0
114,8.0
115,6.0
116,15.0
117,2.0
118,14.0
119,0.0
120,22.0
121,13.0
122,40.0
123,41.0
124,47.0
125,22.0
126,17.0
127,10.0
128,28.0
129,33.0
130,35.0
131,8.0
132,2.0
133,0.0
134,0.0
135,6.0
136,23.0
137,25.0
138,30.0
139,21.0
140,12.0
141,9.0
142,8.0
143,22.0
144,20.0
145,39.0
146,55.0
147,26.0
148,20.0
149,4.0
150,33.0
151,2.0
152,8.0
153,21.0
154,20.0
155,12.0
156,18.0
157,34.0
158,15.0
159,20.0
160,24.0
161,22.0
162,23.0
163,23.0
164,26.0
165,9.0
166,10.0
167,41.0
168,1.0
169,5.0
170,1.0
171,19.0
172,8.0
173,4.0
174,24.0
175,9.0
176,22.0
177,50.0
178,33.0
179,30.0
180,29.0
181,31.0
182,34.0
183,6.0
184,1.0
185,8.0
186,28.0
187,5.0
188,35.0
189,5.0
190,1.0
191,5.0
192,13.0
193,20.0
194,19.0
195,8.0
196,22.0
197,23.0
198,8.0
199,22.0
200,19.0
201,31.0
202,33.0
203,9.0
204,38.0
205,19.0
206,6.0
207,26.0
208,37.0
209,1.0
210,0.0
211,8.0
212,20.0
213,16.0
214,30.0
215,32.0
216,24.0
217,35.0
218,19.0
219,31.0
220,11.0
221,34.0
222,31.0
223,21.0
224,24.0
225,29.0
226,25.0
227,15.0
228,0.0
229,4.0
230,2.0
231,0.0
232,1.0
233,48.0
234,32.0
235,21.0
236,29.0
237,14.0
238,25.0
239,31.0
240,11.0
241,42.0
242,37.0
243,35.0
244,51.0
245,30.0
246,27.0
247,0.0
248,1.0
249,18.0
250,8.0
251,0.0
252,13.0
253,19.0
254,32.0
255,36.0
256,18.0
257,28.0
258,18.0
259,38.0
260,32.0
261,2.0
262,7.0
263,7.0
264,2.0
265,18.0
266,1.0
267,15.0
268,13.0
269,22.0
270,5.0
271,34.0
272,7.0
273,29.0
274,11.0
275,25.0
276,24.0
277,0.0
278,2.0
279,15.0
280,12.0
281,25.0
282,4.0
283,0.0
284,5.0
285,1.0
286,4.0
287,12.0
288,14.0
289,19.0
290,24.0
291,15.0
292,48.0
293,36.0
294,2.0
295,56.0
296,5.0
297,1.0
298,48.0
299,11.0
300,25.0
301,46.0
302,33.0
303,10.0
