Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,137,231,1,17,126
Chennai,145,212,1,15,101
Delhi,124,151,0,11,45
Gurgaon,153,291,0,21,95
Hyderabad,136,230,0,11,65
Kolkata,153,258,1,12,185
Mumbai,154,229,2,17,131
