Districts,C1_grids_count,C2_grids_count,C3_grids_count,C4_grids_count,C5_grids_count
Bangalore,13,108,20,6,2
Chennai,9,60,41,7,8
Delhi,141,147,124,81,98
Gurgaon,26,56,17,5,13
Hyderabad,0,36,38,22,14
Kolkata,6,31,10,9,3
Mumbai,61,67,41,5,22
