Grid_Number,Education
0,1.0
1,3.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,2.0
8,0.0
9,3.0
10,1.0
11,1.0
12,2.0
13,3.0
14,1.0
15,1.0
16,3.0
17,2.0
18,0.0
19,14.0
20,6.0
21,6.0
22,6.0
23,0.0
24,1.0
25,20.0
26,9.0
27,13.0
28,6.0
29,9.0
30,10.0
31,5.0
32,15.0
33,12.0
34,6.0
35,4.0
36,0.0
37,2.0
38,19.0
39,14.0
40,24.0
41,22.0
42,4.0
43,0.0
44,5.0
45,16.0
46,14.0
47,19.0
48,25.0
49,9.0
50,11.0
51,19.0
52,24.0
53,8.0
54,25.0
55,3.0
56,0.0
57,2.0
58,22.0
59,8.0
60,9.0
61,10.0
62,14.0
63,19.0
64,2.0
65,12.0
66,19.0
67,21.0
68,11.0
69,4.0
70,13.0
71,22.0
72,3.0
73,6.0
74,1.0
75,1.0
76,13.0
77,21.0
78,8.0
79,20.0
80,23.0
81,21.0
82,11.0
83,17.0
84,19.0
85,15.0
86,23.0
87,3.0
88,10.0
89,21.0
90,17.0
91,17.0
92,28.0
93,18.0
94,2.0
95,7.0
96,22.0
97,25.0
98,8.0
99,35.0
100,5.0
101,3.0
102,24.0
103,15.0
104,14.0
105,16.0
106,15.0
107,13.0
108,18.0
109,6.0
110,9.0
111,15.0
112,12.0
113,1.0
114,0.0
115,6.0
116,21.0
117,10.0
118,3.0
119,7.0
120,10.0
121,22.0
122,16.0
123,11.0
124,19.0
125,26.0
126,20.0
127,12.0
128,21.0
129,13.0
130,12.0
131,16.0
132,1.0
133,12.0
134,7.0
135,5.0
136,18.0
137,10.0
138,6.0
139,5.0
140,6.0
141,17.0
142,16.0
143,19.0
144,17.0
145,15.0
146,18.0
147,22.0
148,8.0
149,18.0
150,3.0
151,2.0
152,16.0
153,21.0
154,11.0
155,22.0
156,13.0
157,28.0
158,24.0
159,14.0
160,7.0
161,18.0
162,21.0
163,16.0
164,8.0
165,15.0
166,9.0
167,15.0
168,26.0
169,7.0
170,2.0
171,19.0
172,21.0
173,19.0
174,10.0
175,12.0
176,13.0
177,8.0
178,13.0
179,18.0
180,10.0
181,16.0
182,9.0
183,9.0
184,22.0
185,31.0
186,6.0
187,16.0
188,14.0
189,1.0
190,5.0
191,11.0
192,10.0
193,12.0
194,19.0
195,17.0
196,9.0
197,30.0
198,22.0
199,14.0
200,12.0
201,10.0
202,7.0
203,22.0
204,11.0
205,11.0
206,14.0
207,14.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,4.0
214,8.0
215,2.0
216,26.0
217,47.0
218,14.0
219,29.0
220,22.0
221,7.0
222,22.0
223,20.0
224,6.0
225,16.0
226,10.0
227,1.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,0.0
239,6.0
240,1.0
241,15.0
242,37.0
243,14.0
244,26.0
245,6.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,1.0
261,21.0
262,18.0
263,45.0
264,15.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,1.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
