Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,124,168,0,12,63
Chennai,132,209,1,10,89
Delhi,100,55,0,4,19
Gurgaon,118,124,0,6,32
Hyderabad,130,161,0,7,32
Kolkata,128,190,1,5,82
Mumbai,136,232,1,9,105
