Grid_Number,Health
0,4.0
1,4.0
2,19.0
3,8.0
4,8.0
5,13.0
6,2.0
7,12.0
8,3.0
9,6.0
10,1.0
11,3.0
12,2.0
13,0.0
14,0.0
15,3.0
16,2.0
17,1.0
18,7.0
19,31.0
20,3.0
21,11.0
22,2.0
23,8.0
24,3.0
25,7.0
26,1.0
27,0.0
28,5.0
29,2.0
30,8.0
31,0.0
32,2.0
33,4.0
34,0.0
35,13.0
36,5.0
37,16.0
38,3.0
39,6.0
40,2.0
41,1.0
42,22.0
43,21.0
44,9.0
45,0.0
46,3.0
47,5.0
48,9.0
49,17.0
50,12.0
51,28.0
52,3.0
53,5.0
54,10.0
55,0.0
56,28.0
57,27.0
58,5.0
59,3.0
60,11.0
61,5.0
62,3.0
63,17.0
64,13.0
65,12.0
66,16.0
67,5.0
68,2.0
69,2.0
70,14.0
71,27.0
72,29.0
73,19.0
74,59.0
75,16.0
76,0.0
77,34.0
78,21.0
79,20.0
80,7.0
81,7.0
82,4.0
83,4.0
84,6.0
85,30.0
86,8.0
87,8.0
88,13.0
89,5.0
90,2.0
91,2.0
92,20.0
93,37.0
94,31.0
95,10.0
96,6.0
97,13.0
98,23.0
99,34.0
100,23.0
101,27.0
102,61.0
103,28.0
104,2.0
105,4.0
106,9.0
107,2.0
108,39.0
109,14.0
110,11.0
111,18.0
112,5.0
113,24.0
114,33.0
115,28.0
116,15.0
117,35.0
118,39.0
119,33.0
120,29.0
121,26.0
122,20.0
123,1.0
124,5.0
125,10.0
126,16.0
127,33.0
128,23.0
129,33.0
130,12.0
131,28.0
132,24.0
133,39.0
134,33.0
135,22.0
136,35.0
137,13.0
138,2.0
139,1.0
140,29.0
141,20.0
142,31.0
143,16.0
144,42.0
145,35.0
146,38.0
147,37.0
148,27.0
149,27.0
150,28.0
151,54.0
152,21.0
153,16.0
154,16.0
155,18.0
156,20.0
157,17.0
158,17.0
159,18.0
160,12.0
161,13.0
162,20.0
163,15.0
164,13.0
165,14.0
166,34.0
167,17.0
168,21.0
169,32.0
170,34.0
171,18.0
172,10.0
173,1.0
174,2.0
175,55.0
176,27.0
177,23.0
178,16.0
179,7.0
180,14.0
181,17.0
182,38.0
183,10.0
184,26.0
185,13.0
186,4.0
187,1.0
188,9.0
189,17.0
190,27.0
191,15.0
192,27.0
193,28.0
194,12.0
195,12.0
