Amenities,Correlation_Coefficient
local_government_office,-0.81009
school,-0.85154
police,-0.7951
doctor,-0.23035
train_station,0.03653
department_store,-0.25089
supermarket,-0.81925
primary_school,-0.98862
taxi_stand,-0.39508
bus_station,-0.16223
hospital,-0.53625
bank,0.13245
