Amenities,PeriUrban,Urban,Combined
local_government_office,54,70,56
school,121,111,120
police,9,16,10
doctor,102,103,102
train_station,0,0,0
department_store,6,7,7
supermarket,11,14,12
primary_school,16,24,17
taxi_stand,0,0,0
bus_station,0,0,0
hospital,119,129,120
bank,33,40,34
