Amenities,Number of Amenities per capita
local_government_office,0.000203189693636712
school,0.0009655407948261148
police,3.783173835486607e-05
doctor,0.0004116799879769904
train_station,4.4691339265363766e-06
department_store,0.00012201774952915595
supermarket,0.0002534934336470284
primary_school,6.256787497150927e-05
taxi_stand,6.339934174853929e-06
bus_station,5.2382406952891484e-05
hospital,0.0005756868097461625
bank,0.00014841681969985921
