Amenities,PeriUrban,Urban,Combined
local_government_office,38.92583,5.8312,44.75703
school,17.51346,1.78687,19.30032
police,30.21978,8.24176,38.46154
doctor,34.86493,4.19086,39.05579
train_station,30.23256,0.0,30.23256
department_store,39.523,6.30324,45.82624
supermarket,34.68635,6.56007,41.24641
primary_school,35.54817,8.47176,44.01993
taxi_stand,39.34426,4.91803,44.2623
bus_station,16.66667,2.77778,19.44444
hospital,30.92616,4.33291,35.25907
bank,32.91317,5.11204,38.02521
