Amenities,PeriUrban,Urban,Combined
local_government_office,76,71,74
school,123,111,119
police,19,21,19
doctor,115,94,109
train_station,1,1,1
department_store,6,10,7
supermarket,9,10,10
primary_school,29,42,33
taxi_stand,0,0,0
bus_station,0,0,0
hospital,135,133,134
bank,46,42,45
