Amenities,PeriUrban,Urban,Combined
local_government_office,62.5,23.67021,86.17021
school,55.23374,25.71138,80.94512
police,55.98592,26.05634,82.04225
doctor,61.2996,24.66935,85.96895
train_station,52.27273,29.54545,81.81818
department_store,52.65866,33.79074,86.4494
supermarket,62.48416,26.9962,89.48035
primary_school,49.68421,41.89474,91.57895
taxi_stand,58.33333,20.83333,79.16667
bus_station,61.0,22.5,83.5
hospital,57.78499,27.94254,85.72753
bank,59.80114,23.29545,83.09659
