Amenities,Correlation_Coefficient
local_government_office,-0.92507
school,-0.83578
police,-0.8566
doctor,-0.60027
train_station,-0.38683
department_store,-0.8149
supermarket,-0.71087
primary_school,-0.96443
taxi_stand,-0.6414
bus_station,-0.42717
hospital,-0.65853
bank,-0.66788
