Amenities,Number of Amenities per capita
local_government_office,0.00024275124969548492
school,0.0004235234569155269
police,6.11182224410618e-05
doctor,0.0003742415099472059
train_station,9.469020378192674e-06
department_store,0.00012546452001105293
supermarket,0.00016979675178168226
primary_school,0.00010222237908276182
taxi_stand,5.164920206286913e-06
bus_station,4.304100171905761e-05
hospital,0.0004644124085486316
bank,0.00015150432605108279
