Grid_Number,school
891,0.0
892,2.0
926,0.0
927,2.0
961,0.0
962,6.0
996,3.0
997,0.0
1031,1.0
1032,3.0
1065,22.0
1066,2.0
1067,14.0
1174,21.0
1215,8.0
1245,10.0
1250,9.0
1281,13.0
1282,5.0
1283,6.0
1284,16.0
1285,12.0
1286,14.0
1287,3.0
1288,11.0
1289,8.0
1316,4.0
1317,3.0
1318,14.0
1319,22.0
1320,15.0
1321,14.0
1322,13.0
1323,18.0
1324,17.0
1352,3.0
1353,9.0
1354,10.0
1355,15.0
1356,19.0
1357,7.0
1358,17.0
1359,8.0
1360,15.0
1389,10.0
1390,17.0
1391,17.0
1392,7.0
1393,20.0
1394,10.0
1395,18.0
1396,13.0
1420,5.0
1421,19.0
1422,12.0
1423,18.0
1424,7.0
1425,19.0
1426,8.0
1427,13.0
1428,13.0
1430,12.0
1431,18.0
1454,25.0
1455,15.0
1456,18.0
1457,12.0
1458,4.0
1459,19.0
1460,7.0
1461,13.0
1462,18.0
1465,18.0
1489,14.0
1491,16.0
1492,10.0
1493,14.0
1494,14.0
1495,9.0
1496,6.0
1497,20.0
1498,6.0
1509,29.0
1524,5.0
1526,20.0
1527,10.0
1528,14.0
1529,10.0
1530,10.0
1531,7.0
1532,20.0
1533,14.0
1534,7.0
1535,24.0
1544,19.0
1562,9.0
1563,9.0
1564,17.0
1565,8.0
1567,8.0
1568,14.0
1569,1.0
1571,26.0
1597,9.0
1598,19.0
1599,6.0
1602,9.0
1603,24.0
1604,8.0
1605,6.0
1632,28.0
1635,16.0
1637,20.0
1638,11.0
1639,13.0
1667,21.0
1668,6.0
