Amenities,Number of Amenities per capita
local_government_office,0.0002812935806956007
school,0.0021295112623082447
police,8.12185690740819e-05
doctor,0.0008973661412331488
train_station,6.603135697079829e-06
department_store,7.659637408612602e-05
supermarket,0.0004166578624857372
primary_school,6.0748848413134426e-05
taxi_stand,2.0469720660947472e-05
bus_station,7.461543337700207e-05
hospital,0.001002355998816718
bank,0.0002482779022102016
