Amenities,Correlation_Coefficient
local_government_office,-0.84581
school,-0.50836
police,-0.73762
doctor,-0.26974
train_station,-0.982
department_store,-0.56776
supermarket,-0.73023
primary_school,-0.41006
taxi_stand,-0.68519
bus_station,-0.30848
hospital,-0.63591
bank,-0.76242
