Amenities,PeriUrban,Urban,Combined
local_government_office,58.30619,26.64495,84.95114
school,55.60572,15.80135,71.40707
police,53.94191,30.70539,84.6473
doctor,63.31789,18.15287,81.47076
train_station,59.01639,37.70492,96.72131
department_store,59.23913,25.54348,84.78261
supermarket,57.79078,26.62765,84.41843
primary_school,46.91358,43.82716,90.74074
taxi_stand,47.82609,30.43478,78.26087
bus_station,57.07965,25.0,82.07965
hospital,58.46462,22.57233,81.03695
bank,58.07478,24.18457,82.25935
