Amenities,PeriUrban,Urban,Combined
local_government_office,58,73,62
school,138,133,137
police,17,26,20
doctor,128,129,128
train_station,1,1,1
department_store,2,2,2
supermarket,10,12,10
primary_school,11,23,14
taxi_stand,0,0,0
bus_station,1,1,1
hospital,129,136,131
bank,48,53,49
