Amenities,Correlation_Coefficient
local_government_office,-0.58153
school,0.07546
police,-0.78813
doctor,-0.29773
train_station,-0.60736
department_store,-0.38823
supermarket,-0.35581
primary_school,-0.82907
taxi_stand,-0.95296
bus_station,-0.76178
hospital,-0.44961
bank,-0.5808
