Grid_Number,hospital
0,18.0
1,28.0
2,55.0
3,108.0
4,121.0
5,173.0
6,222.0
7,300.0
8,343.0
9,367.0
10,376.0
11,418.0
12,386.0
13,420.0
14,416.0
15,371.0
16,295.0
17,248.0
18,207.0
19,58.0
20,75.0
21,103.0
22,159.0
23,203.0
24,264.0
25,284.0
26,424.0
27,478.0
28,455.0
29,481.0
30,118.0
31,547.0
32,546.0
33,534.0
34,494.0
35,389.0
36,307.0
37,251.0
38,85.0
39,109.0
40,170.0
41,236.0
42,294.0
43,315.0
44,397.0
45,527.0
46,582.0
47,95.0
48,117.0
49,155.0
50,683.0
51,656.0
52,632.0
53,563.0
54,475.0
55,372.0
56,311.0
57,104.0
58,151.0
59,209.0
60,332.0
61,401.0
62,478.0
63,545.0
64,574.0
65,106.0
66,146.0
67,150.0
68,144.0
69,830.0
70,796.0
71,744.0
72,621.0
73,524.0
74,442.0
75,367.0
76,161.0
77,226.0
78,290.0
79,412.0
80,498.0
81,585.0
82,654.0
83,144.0
84,155.0
85,788.0
86,159.0
87,835.0
88,877.0
89,861.0
90,810.0
91,670.0
92,590.0
93,486.0
94,355.0
95,224.0
96,289.0
97,397.0
98,477.0
99,576.0
100,674.0
101,137.0
102,156.0
103,198.0
104,179.0
105,154.0
106,875.0
107,890.0
108,841.0
109,807.0
110,673.0
111,618.0
112,509.0
113,381.0
114,263.0
115,349.0
116,447.0
117,593.0
118,639.0
119,733.0
120,134.0
121,164.0
122,150.0
123,161.0
124,172.0
125,123.0
126,877.0
127,867.0
128,778.0
129,692.0
130,620.0
131,517.0
132,416.0
133,277.0
134,392.0
135,476.0
136,620.0
137,133.0
138,154.0
139,145.0
140,152.0
141,144.0
142,166.0
143,148.0
144,145.0
145,143.0
146,132.0
147,144.0
148,720.0
149,646.0
150,537.0
151,404.0
152,302.0
153,400.0
154,121.0
155,147.0
156,152.0
157,168.0
158,160.0
159,141.0
160,149.0
161,132.0
162,137.0
163,145.0
164,131.0
165,805.0
166,834.0
167,93.0
168,674.0
169,551.0
170,454.0
171,286.0
172,404.0
173,520.0
174,143.0
175,147.0
176,156.0
177,150.0
178,141.0
179,132.0
180,128.0
181,140.0
182,131.0
183,829.0
184,878.0
185,847.0
186,111.0
187,639.0
188,112.0
189,428.0
190,293.0
191,433.0
192,546.0
193,115.0
194,145.0
195,173.0
196,147.0
197,153.0
198,136.0
199,140.0
200,141.0
201,130.0
202,117.0
203,813.0
204,114.0
205,115.0
206,625.0
207,482.0
208,396.0
209,263.0
210,400.0
211,538.0
212,690.0
213,124.0
214,164.0
215,167.0
216,136.0
217,129.0
218,113.0
219,142.0
220,150.0
221,127.0
222,156.0
223,142.0
224,163.0
225,628.0
226,516.0
227,440.0
228,266.0
229,382.0
230,486.0
231,604.0
232,677.0
233,143.0
234,171.0
235,146.0
236,129.0
237,149.0
238,125.0
239,147.0
240,168.0
241,149.0
242,143.0
243,146.0
244,610.0
245,506.0
246,412.0
247,203.0
248,342.0
249,391.0
250,491.0
251,570.0
252,657.0
253,150.0
254,139.0
255,143.0
256,136.0
257,132.0
258,131.0
259,131.0
260,121.0
261,144.0
262,114.0
263,568.0
264,485.0
265,386.0
266,152.0
267,258.0
268,336.0
269,423.0
270,512.0
271,539.0
272,592.0
273,587.0
274,587.0
275,616.0
276,584.0
277,599.0
278,595.0
279,596.0
280,583.0
281,106.0
282,471.0
283,419.0
284,329.0
285,115.0
286,174.0
287,256.0
288,339.0
289,406.0
290,464.0
291,497.0
292,510.0
293,482.0
294,504.0
295,473.0
296,482.0
297,490.0
298,487.0
299,497.0
300,406.0
301,391.0
302,322.0
303,247.0
