Grid_Number,hospital
0,0.19757845924071626
1,0.10268099390697444
2,0.3926943578971618
3,0.41955938784855606
4,0.5892305958138658
5,0.10837504547930951
6,0.1466410977868512
7,0.014440168149783859
8,0.0936222759316006
9,0.004915341359372064
10,0.03855538514496121
11,0.01362972527090669
12,0.0014802488182357933
13,0.006376517476487606
14,0.06434490367914453
15,0.0040872415807364955
16,0.0016411584622485975
17,0.1526718733572365
18,0.026139376888238815
19,0.08834600700625152
20,0.34888458388476123
21,0.24871466711988477
22,0.20656901770103547
23,0.02237270307909344
24,0.3442949526731741
25,0.07525118591642058
26,0.0009495667269255179
27,0.06670509370588286
28,0.06174124839355557
29,0.20646622081372015
30,0.10094954355998445
31,0.10019244518415567
32,0.13874663168023585
33,0.15486165220433337
34,0.04059533219391045
35,0.08508078146829763
36,0.041980737071595116
37,0.2026570383926061
38,0.2821210248581226
39,0.10502600930557071
40,0.481638935785367
41,0.03993028282975064
42,0.12913930178777336
43,0.038257230401296055
44,0.08377362073640074
45,0.16941358249133304
46,0.008017113823902945
47,0.07075028216922859
48,0.0025359913003216547
49,0.0128894978951501
50,0.1189540323424001
51,0.07367700617186006
52,0.07478875842580726
53,0.05152168089813693
54,0.11795834448773954
55,0.012318966835154129
56,0.06526904868148677
57,0.003520676149374367
58,0.5063780098667464
59,0.18854917405286778
60,0.08111584173529007
61,0.00880528990916298
62,0.1028687951033256
63,0.08365999097164814
64,0.26757077121136374
65,0.05095211133895775
66,0.03840684111621405
67,0.03145762365091179
68,0.14290119471981763
69,0.0633207883356885
70,0.00662680762760229
71,0.07945164196151504
72,0.17744493223113358
73,0.010756119282539814
74,0.02705057063599702
75,0.17928371319517492
76,0.6395338409807877
77,0.2038554420395979
78,0.01829553374236423
79,0.0224803354261785
80,0.3124666284815591
81,0.022799496712113836
82,0.09925006619739953
83,0.02591404298746255
84,0.08064112731880971
85,0.028688384542989356
86,0.07100166883563307
87,0.022675145962619807
88,0.010379248371433362
89,0.003851797812037432
90,0.06306828260639179
91,0.06796707108020456
92,0.010889006472878193
93,0.004194317661155623
94,0.029717677709525533
95,0.05806556811066037
96,0.08082171133963112
97,0.25006583896337403
98,0.05825631786936282
99,0.007667060540331136
100,0.011826809359677668
101,0.027436586560104673
102,0.18878187160890247
103,0.05240104389682006
104,0.0015956753678759413
105,0.008985460312687025
106,0.3857145685459326
107,0.1319033883162472
108,0.07017412074162052
109,0.013613580960898776
110,0.1330622160241571
111,0.009791426554350679
112,0.4563510775420633
113,0.0821307699439584
114,0.06214892661787087
115,0.010613832917850516
116,0.012405493558412715
117,0.08648493639008933
118,0.004951822475097089
119,0.137043820981905
120,0.12211741029658445
121,0.012481335754593318
122,0.008616701591870524
123,0.030724282418380953
124,0.007539205927508533
125,0.044899581370977444
126,0.01205205566875273
127,0.11811872356807203
128,0.0685070350128981
129,0.010597054839816935
130,0.0321424759316217
131,0.038905075536489704
