Grid_Number,primary_school
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,2.0
7,1.0
8,0.0
9,0.0
10,1.0
11,0.0
12,0.0
13,0.0
14,0.0
15,1.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,3.0
26,0.0
27,0.0
28,1.0
29,1.0
30,1.0
31,0.0
32,1.0
33,1.0
34,2.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,2.0
43,0.0
44,0.0
45,1.0
46,0.0
47,4.0
48,3.0
49,2.0
50,0.0
51,0.0
52,1.0
53,0.0
54,3.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,1.0
63,0.0
64,1.0
65,4.0
66,0.0
67,6.0
68,2.0
69,0.0
70,1.0
71,0.0
72,2.0
73,5.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,1.0
82,2.0
83,2.0
84,0.0
85,0.0
86,3.0
87,1.0
88,0.0
89,1.0
90,6.0
91,2.0
92,5.0
93,0.0
94,1.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,4.0
103,3.0
104,3.0
105,2.0
106,1.0
107,1.0
108,3.0
109,5.0
110,2.0
111,1.0
112,0.0
113,0.0
114,1.0
115,0.0
116,0.0
117,0.0
118,1.0
119,0.0
120,3.0
121,2.0
122,5.0
123,5.0
124,7.0
125,4.0
126,0.0
127,0.0
128,6.0
129,3.0
130,3.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,2.0
137,1.0
138,3.0
139,7.0
140,2.0
141,5.0
142,3.0
143,5.0
144,1.0
145,2.0
146,4.0
147,2.0
148,5.0
149,3.0
150,0.0
151,0.0
152,0.0
153,1.0
154,1.0
155,2.0
156,7.0
157,4.0
158,7.0
159,7.0
160,6.0
161,6.0
162,6.0
163,4.0
164,4.0
165,0.0
166,0.0
167,3.0
168,0.0
169,1.0
170,0.0
171,0.0
172,2.0
173,2.0
174,0.0
175,4.0
176,9.0
177,6.0
178,5.0
179,3.0
180,4.0
181,4.0
182,0.0
183,0.0
184,0.0
185,1.0
186,4.0
187,0.0
188,3.0
189,0.0
190,0.0
191,0.0
192,3.0
193,0.0
194,2.0
195,4.0
196,6.0
197,5.0
198,6.0
199,7.0
200,1.0
201,6.0
202,1.0
203,0.0
204,3.0
205,3.0
206,3.0
207,2.0
208,2.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,5.0
215,3.0
216,4.0
217,3.0
218,6.0
219,4.0
220,7.0
221,6.0
222,5.0
223,6.0
224,1.0
225,2.0
226,2.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,3.0
234,6.0
235,4.0
236,2.0
237,3.0
238,5.0
239,3.0
240,7.0
241,2.0
242,1.0
243,1.0
244,2.0
245,2.0
246,2.0
247,0.0
248,0.0
249,0.0
250,2.0
251,0.0
252,0.0
253,2.0
254,2.0
255,8.0
256,3.0
257,5.0
258,7.0
259,5.0
260,3.0
261,1.0
262,6.0
263,0.0
264,0.0
265,0.0
266,0.0
267,3.0
268,0.0
269,0.0
270,0.0
271,0.0
272,2.0
273,4.0
274,3.0
275,4.0
276,1.0
277,0.0
278,2.0
279,1.0
280,1.0
281,3.0
282,1.0
283,0.0
284,1.0
285,0.0
286,1.0
287,1.0
288,1.0
289,0.0
290,0.0
291,0.0
292,2.0
293,1.0
294,1.0
295,4.0
296,0.0
297,0.0
298,2.0
299,3.0
300,0.0
301,1.0
302,0.0
303,1.0
