Grid_Number,department_store
0,1.0
1,2.0
2,2.0
3,4.0
4,4.0
5,6.0
6,6.0
7,6.0
8,7.0
9,6.0
10,6.0
11,8.0
12,7.0
13,7.0
14,7.0
15,7.0
16,7.0
17,5.0
18,5.0
19,2.0
20,3.0
21,4.0
22,4.0
23,5.0
24,7.0
25,7.0
26,9.0
27,8.0
28,8.0
29,12.0
30,0.0
31,14.0
32,15.0
33,12.0
34,12.0
35,9.0
36,7.0
37,5.0
38,2.0
39,3.0
40,4.0
41,4.0
42,7.0
43,7.0
44,7.0
45,9.0
46,11.0
47,1.0
48,1.0
49,1.0
50,24.0
51,24.0
52,24.0
53,19.0
54,14.0
55,10.0
56,6.0
57,3.0
58,4.0
59,5.0
60,6.0
61,7.0
62,7.0
63,9.0
64,11.0
65,2.0
66,1.0
67,1.0
68,1.0
69,34.0
70,33.0
71,31.0
72,28.0
73,24.0
74,16.0
75,11.0
76,4.0
77,4.0
78,5.0
79,7.0
80,8.0
81,8.0
82,11.0
83,3.0
84,2.0
85,20.0
86,3.0
87,39.0
88,39.0
89,37.0
90,39.0
91,33.0
92,28.0
93,21.0
94,11.0
95,3.0
96,4.0
97,5.0
98,7.0
99,8.0
100,9.0
101,1.0
102,2.0
103,1.0
104,1.0
105,2.0
106,42.0
107,40.0
108,41.0
109,40.0
110,37.0
111,31.0
112,22.0
113,14.0
114,3.0
115,3.0
116,5.0
117,5.0
118,7.0
119,11.0
120,1.0
121,1.0
122,1.0
123,1.0
124,3.0
125,2.0
126,45.0
127,47.0
128,44.0
129,40.0
130,36.0
131,27.0
132,18.0
133,2.0
134,3.0
135,3.0
136,4.0
137,1.0
138,0.0
139,1.0
140,1.0
141,2.0
142,3.0
143,3.0
144,1.0
145,6.0
146,7.0
147,5.0
148,46.0
149,43.0
150,31.0
151,19.0
152,2.0
153,2.0
154,0.0
155,1.0
156,0.0
157,0.0
158,1.0
159,1.0
160,3.0
161,3.0
162,2.0
163,1.0
164,4.0
165,58.0
166,55.0
167,1.0
168,43.0
169,34.0
170,18.0
171,2.0
172,2.0
173,2.0
174,0.0
175,0.0
176,0.0
177,1.0
178,1.0
179,3.0
180,3.0
181,4.0
182,1.0
183,66.0
184,63.0
185,58.0
186,3.0
187,43.0
188,1.0
189,20.0
190,2.0
191,2.0
192,6.0
193,0.0
194,0.0
195,0.0
196,1.0
197,1.0
198,2.0
199,4.0
200,4.0
201,2.0
202,3.0
203,56.0
204,5.0
205,4.0
206,38.0
207,24.0
208,21.0
209,3.0
210,4.0
211,7.0
212,9.0
213,0.0
214,1.0
215,1.0
216,2.0
217,4.0
218,1.0
219,2.0
220,4.0
221,2.0
222,1.0
223,8.0
224,2.0
225,30.0
226,23.0
227,20.0
228,3.0
229,4.0
230,8.0
231,8.0
232,12.0
233,1.0
234,3.0
235,1.0
236,2.0
237,1.0
238,3.0
239,2.0
240,2.0
241,1.0
242,2.0
243,3.0
244,26.0
245,21.0
246,20.0
247,3.0
248,4.0
249,7.0
250,7.0
251,10.0
252,13.0
253,3.0
254,2.0
255,1.0
256,2.0
257,3.0
258,2.0
259,3.0
260,2.0
261,1.0
262,3.0
263,24.0
264,23.0
265,16.0
266,3.0
267,4.0
268,6.0
269,7.0
270,9.0
271,12.0
272,14.0
273,18.0
274,22.0
275,27.0
276,25.0
277,27.0
278,29.0
279,28.0
280,27.0
281,1.0
282,22.0
283,20.0
284,10.0
285,3.0
286,3.0
287,4.0
288,7.0
289,7.0
290,9.0
291,12.0
292,15.0
293,14.0
294,21.0
295,16.0
296,15.0
297,22.0
298,24.0
299,21.0
300,21.0
301,15.0
302,10.0
303,8.0
