Amenities,Number of Amenities per capita
local_government_office,0.0001278717208687093
school,0.00021015439342770488
police,3.8472709061368194e-05
doctor,0.00017568462519353107
train_station,5.55964003776997e-06
department_store,3.3580225828130624e-05
supermarket,5.62635571822321e-05
primary_school,3.82503234598574e-05
taxi_stand,4.002940827194379e-06
bus_station,1.0007352067985946e-05
hospital,0.00019480978692345977
bank,9.251241022849231e-05
