Amenities,Correlation_Coefficient
local_government_office,-0.55191
school,-0.65489
police,-0.46488
doctor,-0.36281
train_station,-0.63745
department_store,-0.74827
supermarket,-0.67389
primary_school,-0.76517
taxi_stand,-0.9977
bus_station,-0.89738
hospital,-0.62935
bank,-0.47748
