Grid_Number,bank
0,22.0
1,30.0
2,35.0
3,38.0
4,44.0
5,50.0
6,56.0
7,63.0
8,76.0
9,77.0
10,65.0
11,53.0
12,38.0
13,28.0
14,37.0
15,49.0
16,63.0
17,81.0
18,83.0
19,11.0
20,87.0
21,101.0
22,107.0
23,108.0
24,90.0
25,71.0
26,60.0
27,43.0
28,54.0
29,69.0
30,86.0
31,101.0
32,9.0
33,108.0
34,117.0
35,131.0
36,128.0
37,124.0
38,125.0
39,111.0
40,67.0
41,60.0
42,70.0
43,97.0
44,114.0
45,12.0
46,13.0
47,173.0
48,187.0
49,197.0
50,178.0
51,168.0
52,154.0
53,140.0
54,111.0
55,86.0
56,98.0
57,120.0
58,147.0
59,34.0
60,24.0
61,261.0
62,275.0
63,259.0
64,252.0
65,219.0
66,196.0
67,175.0
68,119.0
69,98.0
70,127.0
71,160.0
72,189.0
73,250.0
74,30.0
75,25.0
76,344.0
77,337.0
78,313.0
79,288.0
80,248.0
81,207.0
82,146.0
83,104.0
84,142.0
85,49.0
86,53.0
87,285.0
88,342.0
89,356.0
90,368.0
91,363.0
92,374.0
93,335.0
94,285.0
95,230.0
96,188.0
97,133.0
98,166.0
99,44.0
100,63.0
101,60.0
102,63.0
103,372.0
104,380.0
105,397.0
106,392.0
107,367.0
108,317.0
109,253.0
110,209.0
111,155.0
112,186.0
113,54.0
114,65.0
115,68.0
116,94.0
117,107.0
118,126.0
119,124.0
120,93.0
121,78.0
122,74.0
123,275.0
124,213.0
125,144.0
126,195.0
127,56.0
128,60.0
129,63.0
130,82.0
131,112.0
132,124.0
133,104.0
134,95.0
135,83.0
136,69.0
137,55.0
138,211.0
139,148.0
140,167.0
141,225.0
142,267.0
143,54.0
144,55.0
145,66.0
146,79.0
147,72.0
148,74.0
149,78.0
150,63.0
151,54.0
152,40.0
153,18.0
154,143.0
155,181.0
156,228.0
157,282.0
158,33.0
159,35.0
160,44.0
161,58.0
162,42.0
163,49.0
164,57.0
165,53.0
166,40.0
167,23.0
168,123.0
169,142.0
170,172.0
171,219.0
172,258.0
173,266.0
174,20.0
175,30.0
176,35.0
177,226.0
178,195.0
179,162.0
180,145.0
181,116.0
182,98.0
183,119.0
184,132.0
185,158.0
186,181.0
187,174.0
188,176.0
189,176.0
190,175.0
191,180.0
192,150.0
193,137.0
194,114.0
195,85.0
