Grid_Number,school
0,0.027369330364777823
1,0.14733473869999184
2,0.03264848584123115
3,0.010031465512890038
4,0.02061246341222116
5,0.043217097374787815
6,0.04347405954220858
7,0.09900338407725731
8,0.04766158356193847
9,0.017047027691546077
10,0.16760583762955253
11,0.014159574936729768
12,0.10276794685442843
13,0.06704648659401402
14,0.03417133506117511
15,0.36018589203812956
16,0.05164681493093856
17,0.00762202541269636
18,0.009111867919151705
19,0.04182075782473828
20,0.17215463588032384
21,0.018724647066624044
22,0.007776846473980641
23,0.0024638125910909137
24,0.007608232507161375
25,0.030576717867539075
26,0.1751224905973018
27,0.2592543429408584
28,0.12193237869017787
29,0.019297418972752268
30,0.033595150177392924
31,0.030129638193276236
32,0.09119140049535304
33,0.06298844873066516
34,0.24542211932133579
35,0.06560109956915001
36,0.06464908068343092
37,0.0013756333410774744
38,0.0014598255395520425
39,0.12421429460342859
40,0.5723847357029601
41,0.03650701711634747
42,0.1816834201239409
43,0.06325541009135156
44,0.0054689090087582885
45,0.304987509308885
46,0.010565267849152973
47,0.09376323019717682
48,0.028430984094168082
49,0.04155899605398059
50,0.01025855213909854
51,0.02903747164520857
52,0.010488704910378231
53,0.16417746550293086
54,0.0236755070493559
55,0.15701593501824151
56,0.030109833728649192
57,0.06487237817997783
58,0.001211584628111609
59,0.16603371473961784
60,0.20398165476042104
61,0.018140623522550754
62,0.061363034686182955
63,0.08140058400944557
64,0.008565454230730097
65,0.033773046557204166
66,0.045427474720625124
67,0.005309868542605812
68,0.21881174526941638
69,0.029629895057994106
70,0.08310806334814828
71,0.08257127030680697
72,0.0036033383159467147
73,0.007360067004229706
74,0.05750380279626336
75,0.002109984050590299
76,0.15303519420513567
77,0.024294649336753876
78,0.05743117159826847
79,0.03381874623445276
80,0.006418297207194683
81,0.001359508460837617
82,0.06636840676815849
83,0.014162690831041403
84,0.05368062392132095
85,0.09481133356727729
86,0.06821631135302357
87,0.23684428057209322
88,0.08464251521244477
89,0.07696738361996347
90,0.03024949040564951
91,0.007347345731617168
92,0.14780533154306477
93,0.09446224366067602
94,0.02452797294370839
95,0.009383224694056736
96,0.05071913795986103
97,0.10629264927203258
98,0.009960331194433252
99,0.11507635056357947
100,0.02689044851715333
101,0.1722281960160962
102,0.0030437415881263237
103,0.02370224098593104
104,0.06490670695913747
105,0.08758923767072031
106,0.1003754823091777
107,0.11323228661964033
108,0.21394489187525065
109,0.12336446568339227
110,0.024797083655494163
111,0.12687410592533319
112,0.25693474192342075
113,0.03744996855152871
114,0.03581216509999376
115,0.03647895811516621
116,0.016240389645345913
117,0.0029430685470290996
118,0.0356719718148061
119,0.021582827621193942
120,0.06286960535257652
121,0.035730241419441026
122,0.12431517381513323
123,0.343442062387822
124,0.05786772104523493
125,0.03122196577413675
126,0.01392381875786009
127,0.07557943054667385
128,0.042881794750958366
129,0.15279806784207314
130,0.049987897236152365
131,0.0078121672249116475
132,0.21076683203028787
133,0.09569517108373785
134,0.08407256934369009
135,0.07771606514860308
136,0.0766074288692816
137,0.013159700262305365
138,0.009534008291484269
139,0.01236199003755894
140,0.08889315623477904
141,0.1328512406246853
142,0.017836323847964023
143,0.044643160219259924
144,0.09453480200681269
145,0.3545288775824869
146,0.021939990542122076
147,0.042575547825514704
148,0.0858367684497118
149,0.09097518747887084
150,0.03780797308151975
151,0.027302466093237058
152,0.12527344222159137
153,0.047501784835578834
154,0.031527525897653785
155,0.07836250557876406
156,0.22896697414176181
157,0.16210399328771477
158,0.1151690196630972
159,0.0010976047214475671
160,0.025845000768087743
161,0.03641146116253407
162,0.09713454106994732
163,0.01521544145936133
164,0.040025044035528284
165,0.14928556629330111
166,0.0831634672008239
167,0.025235082254533806
168,0.012885119630752683
169,0.1001244826289529
170,0.02096431797330925
171,0.009066438625033634
172,0.03697958473762745
173,0.029133817740119184
174,0.05580294402412724
175,0.016460596663767577
176,0.05665299404023767
177,0.021954225560443207
178,0.15860267553117616
179,0.05292005613610672
180,0.024640459358759813
181,0.06735189839054044
182,0.09355424463422148
183,0.07825549096910388
184,0.0007383510691193749
185,0.04144604144636412
186,0.15610415105191647
187,0.09269469796334749
188,0.04367725767854663
189,0.19099024346814283
190,0.13660363676800757
191,0.03676455113560075
192,0.11676323968702484
193,0.01244701795612707
194,0.2642482330718011
195,0.039980880631634366
