Grid_Number,doctor
0,118.0
1,154.0
2,152.0
3,166.0
4,171.0
5,178.0
6,179.0
7,195.0
8,196.0
9,183.0
10,137.0
11,112.0
12,79.0
13,42.0
14,152.0
15,197.0
16,232.0
17,267.0
18,260.0
19,43.0
20,252.0
21,265.0
22,243.0
23,238.0
24,190.0
25,158.0
26,109.0
27,78.0
28,183.0
29,241.0
30,265.0
31,303.0
32,33.0
33,311.0
34,299.0
35,295.0
36,297.0
37,290.0
38,278.0
39,247.0
40,143.0
41,100.0
42,229.0
43,291.0
44,352.0
45,30.0
46,37.0
47,406.0
48,391.0
49,368.0
50,368.0
51,325.0
52,310.0
53,299.0
54,237.0
55,149.0
56,277.0
57,362.0
58,405.0
59,79.0
60,54.0
61,513.0
62,487.0
63,503.0
64,458.0
65,393.0
66,352.0
67,304.0
68,253.0
69,181.0
70,322.0
71,393.0
72,430.0
73,510.0
74,79.0
75,53.0
76,582.0
77,568.0
78,529.0
79,448.0
80,388.0
81,346.0
82,263.0
83,201.0
84,384.0
85,123.0
86,102.0
87,582.0
88,641.0
89,634.0
90,640.0
91,617.0
92,617.0
93,541.0
94,491.0
95,413.0
96,330.0
97,232.0
98,413.0
99,106.0
100,124.0
101,122.0
102,114.0
103,676.0
104,653.0
105,675.0
106,655.0
107,588.0
108,540.0
109,452.0
110,363.0
111,273.0
112,440.0
113,123.0
114,130.0
115,140.0
116,142.0
117,156.0
118,143.0
119,124.0
120,103.0
121,110.0
122,113.0
123,487.0
124,397.0
125,291.0
126,441.0
127,122.0
128,137.0
129,138.0
130,131.0
131,174.0
132,161.0
133,163.0
134,145.0
135,124.0
136,120.0
137,91.0
138,413.0
139,318.0
140,385.0
141,484.0
142,552.0
143,118.0
144,130.0
145,127.0
146,145.0
147,151.0
148,136.0
149,144.0
150,110.0
151,108.0
152,91.0
153,52.0
154,353.0
155,417.0
156,502.0
157,619.0
158,114.0
159,100.0
160,119.0
161,142.0
162,129.0
163,107.0
164,115.0
165,115.0
166,109.0
167,77.0
168,298.0
169,356.0
170,393.0
171,490.0
172,559.0
173,540.0
174,81.0
175,117.0
176,120.0
177,489.0
178,424.0
179,377.0
180,296.0
181,231.0
182,234.0
183,289.0
184,319.0
185,390.0
186,423.0
187,428.0
188,428.0
189,421.0
190,419.0
191,407.0
192,369.0
193,322.0
194,251.0
195,183.0
