Grid_Number,school
615,0.0
616,2.0
617,6.0
657,8.0
658,16.0
665,12.0
666,2.0
705,6.0
706,7.0
707,22.0
714,8.0
754,19.0
755,15.0
756,22.0
763,1.0
803,12.0
804,17.0
805,9.0
806,4.0
812,2.0
813,8.0
852,20.0
854,13.0
855,16.0
856,22.0
861,2.0
866,16.0
903,9.0
904,19.0
905,19.0
908,16.0
910,1.0
948,39.0
951,11.0
952,20.0
953,6.0
954,14.0
955,21.0
958,12.0
959,16.0
960,1.0
961,12.0
964,8.0
999,12.0
1000,6.0
1001,16.0
1002,10.0
1003,10.0
1004,20.0
1005,5.0
1007,8.0
1008,11.0
1009,3.0
1010,16.0
1011,19.0
1013,14.0
1019,41.0
1020,8.0
1043,12.0
1044,4.0
1045,12.0
1048,15.0
1049,10.0
1050,5.0
1051,9.0
1052,4.0
1053,22.0
1054,7.0
1055,18.0
1056,5.0
1057,18.0
1058,26.0
1059,14.0
1061,16.0
1065,10.0
1066,4.0
1067,2.0
1068,10.0
1069,6.0
1091,27.0
1092,8.0
1093,10.0
1094,25.0
1096,7.0
1098,16.0
1099,10.0
1100,9.0
1101,6.0
1102,16.0
1103,7.0
1104,18.0
1105,11.0
1106,7.0
1107,15.0
1108,20.0
1109,5.0
1110,15.0
1111,10.0
1114,10.0
1115,7.0
1116,5.0
1117,6.0
1118,30.0
1141,1.0
1142,8.0
1143,5.0
1144,9.0
1145,9.0
1146,12.0
1147,8.0
1148,10.0
1149,15.0
1150,6.0
1151,13.0
1152,16.0
1153,14.0
1154,18.0
1155,9.0
1156,17.0
1157,15.0
1158,5.0
1159,18.0
1160,13.0
1165,3.0
1166,2.0
1167,0.0
1188,19.0
1190,1.0
1191,7.0
1192,3.0
1193,41.0
1194,16.0
1195,6.0
1196,5.0
1197,7.0
1198,6.0
1199,11.0
1200,24.0
1202,7.0
1203,5.0
1204,7.0
1205,13.0
1206,6.0
1207,10.0
1208,1.0
1209,4.0
1211,14.0
1213,1.0
1215,0.0
1216,2.0
1220,4.0
1236,6.0
1237,20.0
1238,21.0
1239,0.0
1240,1.0
1241,0.0
1242,8.0
1243,12.0
1244,13.0
1245,13.0
1246,11.0
1247,15.0
1248,20.0
1249,16.0
1250,2.0
1251,14.0
1252,15.0
1253,6.0
1254,20.0
1255,18.0
1256,10.0
1257,28.0
1258,13.0
1259,14.0
1267,0.0
1268,5.0
1269,23.0
1270,22.0
1287,9.0
1288,0.0
1289,0.0
1290,2.0
1292,10.0
1293,31.0
1294,10.0
1295,10.0
1296,9.0
1297,13.0
1298,13.0
1299,7.0
1300,16.0
1301,6.0
1302,7.0
1303,18.0
1304,4.0
1305,3.0
1306,14.0
1307,16.0
1308,24.0
1309,2.0
1315,15.0
1316,5.0
1317,9.0
1318,14.0
1319,16.0
1337,1.0
1338,2.0
1339,0.0
1340,3.0
1342,4.0
1343,29.0
1344,8.0
1345,6.0
1346,5.0
1347,13.0
1348,8.0
1349,12.0
1350,10.0
1351,1.0
1352,18.0
1353,15.0
1354,8.0
1355,3.0
1356,6.0
1357,4.0
1358,5.0
1364,3.0
1365,6.0
1366,8.0
1367,6.0
1368,15.0
1385,10.0
1386,6.0
1387,1.0
1388,0.0
1389,1.0
1393,12.0
1394,21.0
1395,12.0
1396,9.0
1397,6.0
1398,3.0
1399,12.0
1401,9.0
1402,6.0
1403,9.0
1405,21.0
1406,30.0
1409,2.0
1413,0.0
1415,4.0
1416,0.0
1417,2.0
1428,24.0
1435,50.0
1436,0.0
1437,4.0
1443,7.0
1444,6.0
1445,15.0
1446,6.0
1447,17.0
1448,9.0
1449,13.0
1450,10.0
1451,15.0
1452,7.0
1453,6.0
1454,19.0
1455,3.0
1458,2.0
1461,0.0
1462,0.0
1464,8.0
1465,6.0
1466,5.0
1467,2.0
1477,30.0
1484,12.0
1492,22.0
1493,9.0
1494,22.0
1495,12.0
1496,12.0
1497,5.0
1498,12.0
1499,13.0
1500,13.0
1501,10.0
1502,3.0
1503,11.0
1504,15.0
1505,13.0
1506,2.0
1507,1.0
1508,5.0
1509,29.0
1510,4.0
1511,2.0
1528,22.0
1541,29.0
1542,14.0
1543,5.0
1544,13.0
1545,19.0
1546,8.0
1547,4.0
1548,6.0
1549,13.0
1550,9.0
1551,6.0
1552,20.0
1553,19.0
1554,14.0
1555,8.0
1556,10.0
1557,0.0
1558,2.0
1559,2.0
1560,6.0
1593,11.0
1594,4.0
1595,22.0
1596,12.0
1597,14.0
1598,5.0
1599,14.0
1600,2.0
1601,2.0
1602,12.0
1603,11.0
1604,11.0
1641,19.0
1642,12.0
1643,5.0
1644,23.0
1645,12.0
1646,7.0
