Grid_Number,doctor
1501,114.0
1502,118.0
1503,123.0
1504,101.0
1505,39.0
1506,16.0
1507,6.0
1508,8.0
1509,9.0
1510,0.0
1511,8.0
1528,14.0
1541,49.0
1542,74.0
1543,112.0
1544,119.0
1545,109.0
1546,134.0
1547,149.0
1548,142.0
1549,127.0
1550,114.0
1551,99.0
1552,82.0
1553,57.0
1554,27.0
1555,17.0
1556,8.0
1557,7.0
1558,0.0
1559,10.0
1560,4.0
1593,116.0
1594,139.0
1595,113.0
1596,130.0
1597,148.0
1598,117.0
1599,112.0
1600,80.0
1601,64.0
1602,42.0
1603,26.0
1604,17.0
1641,99.0
1642,86.0
1643,133.0
1644,124.0
1645,155.0
1646,143.0
1647,167.0
1648,120.0
1649,98.0
1650,62.0
1651,24.0
1652,20.0
1653,21.0
1677,118.0
1678,115.0
1681,128.0
1690,170.0
1691,137.0
1692,121.0
1693,132.0
1694,171.0
1695,160.0
1696,174.0
1697,128.0
1698,75.0
1699,48.0
1700,25.0
1701,21.0
1702,17.0
1703,10.0
1720,7.0
1721,10.0
1724,60.0
1725,91.0
1731,139.0
1739,168.0
1740,193.0
1741,98.0
1742,129.0
1743,153.0
1744,161.0
1745,145.0
1746,106.0
1747,78.0
1748,54.0
1749,55.0
1750,39.0
1751,22.0
1773,64.0
1774,77.0
1780,120.0
1788,179.0
1789,162.0
1790,130.0
1791,136.0
1792,146.0
1793,154.0
1794,131.0
1796,56.0
1797,48.0
1798,52.0
1799,45.0
1800,19.0
1824,101.0
1826,153.0
1828,152.0
1829,152.0
1837,153.0
1838,128.0
1839,133.0
1840,116.0
1841,111.0
1842,122.0
1843,99.0
1844,72.0
1845,48.0
1846,48.0
1847,46.0
1848,45.0
1874,128.0
1875,136.0
1878,150.0
1879,93.0
1885,91.0
1886,125.0
1887,117.0
1888,124.0
1892,65.0
1893,52.0
1894,35.0
1895,45.0
1918,4.0
1920,46.0
1921,64.0
1924,145.0
1927,118.0
1928,114.0
1934,122.0
1935,163.0
1936,128.0
1937,95.0
1940,39.0
1941,40.0
1942,36.0
1943,26.0
1964,1.0
1969,53.0
1970,106.0
1971,111.0
1972,131.0
1974,144.0
1975,133.0
1976,150.0
1977,155.0
1978,114.0
1983,107.0
1984,128.0
1985,115.0
1986,75.0
2018,49.0
2019,97.0
2022,162.0
2023,161.0
2024,151.0
2025,149.0
2026,155.0
2027,122.0
2030,12.0
2031,42.0
2033,83.0
2040,26.0
2041,19.0
2068,64.0
2070,127.0
2071,142.0
2072,147.0
2073,137.0
2074,135.0
2075,149.0
2076,107.0
2077,69.0
2084,52.0
2085,73.0
2086,85.0
2087,90.0
2088,105.0
2089,78.0
2090,51.0
2091,33.0
2118,63.0
2119,48.0
2120,129.0
2122,99.0
2123,114.0
2124,124.0
2125,86.0
2132,88.0
2133,96.0
2134,107.0
2135,118.0
2136,152.0
2137,136.0
2138,120.0
2139,84.0
2140,50.0
2167,21.0
2168,78.0
2169,104.0
2170,100.0
2171,151.0
2172,123.0
2177,87.0
2178,87.0
2179,114.0
2180,126.0
2181,123.0
2182,139.0
2183,147.0
2184,163.0
2185,170.0
2186,150.0
2187,125.0
2188,92.0
2189,67.0
2215,47.0
2216,41.0
2217,79.0
2218,98.0
2220,170.0
2221,120.0
2226,144.0
2227,138.0
2228,154.0
2229,153.0
2230,152.0
2231,130.0
2232,155.0
2233,154.0
2234,151.0
2235,131.0
2236,103.0
2263,69.0
2264,57.0
2265,56.0
2266,52.0
2267,120.0
2268,133.0
2269,140.0
2274,142.0
2275,143.0
2276,172.0
2277,151.0
2278,144.0
2279,158.0
2280,128.0
2281,148.0
2282,147.0
2283,127.0
2284,95.0
2312,98.0
2313,71.0
2314,36.0
2315,50.0
2316,83.0
2317,95.0
2323,165.0
2324,153.0
2325,91.0
2326,117.0
2327,128.0
2328,131.0
2329,155.0
2330,152.0
2331,155.0
2332,106.0
2333,73.0
2334,43.0
2362,65.0
2364,15.0
2365,40.0
2372,128.0
2373,104.0
2374,104.0
2375,127.0
2377,133.0
2378,128.0
2379,154.0
2380,132.0
2381,105.0
2382,52.0
2383,24.0
2411,49.0
2412,29.0
2421,107.0
2422,83.0
2423,121.0
2471,53.0
2472,93.0
