District_Name,MinLat,MaxLat,MinLong,MaxLong
Bangalore,12.64,13.23,77.32,77.83
Chennai,12.95,13.14,80.16,80.31
Delhi,28.40,28.89,76.83,77.34
Gurgaon,28.20,28.55,76.63,77.24
Hyderabad,17.29,17.48,78.38,78.54
Kolkata,22.49,22.63,88.27,88.41
Mumbai,18.89,19.27,72.77,72.99
