Grid_Number,train_station
0,2.0
1,2.0
2,2.0
3,0.0
4,2.0
5,2.0
6,2.0
7,2.0
8,0.0
9,1.0
10,1.0
11,1.0
12,1.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,1.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,2.0
50,2.0
51,0.0
52,0.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,1.0
75,1.0
76,1.0
77,1.0
78,0.0
79,2.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,2.0
99,2.0
100,0.0
101,0.0
102,0.0
103,2.0
104,2.0
105,2.0
106,2.0
107,2.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,2.0
128,2.0
129,2.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,2.0
148,2.0
149,0.0
150,0.0
151,0.0
152,2.0
153,2.0
154,2.0
155,2.0
156,0.0
157,0.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,1.0
173,1.0
174,1.0
175,1.0
176,2.0
177,2.0
178,2.0
179,2.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,1.0
186,1.0
187,1.0
188,1.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,2.0
197,2.0
198,0.0
199,0.0
200,2.0
201,2.0
202,2.0
203,2.0
204,0.0
205,0.0
206,0.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.0
223,1.0
224,1.0
225,2.0
226,2.0
227,2.0
228,2.0
229,2.0
230,0.0
231,0.0
232,0.0
233,0.0
234,1.0
235,1.0
236,1.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,2.0
246,2.0
247,0.0
248,0.0
249,2.0
250,2.0
251,2.0
252,0.0
253,0.0
254,0.0
255,1.0
256,1.0
257,1.0
258,1.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,1.0
272,1.0
273,2.0
274,2.0
275,3.0
276,0.0
277,2.0
278,2.0
279,2.0
280,0.0
281,0.0
282,0.0
283,1.0
284,1.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,2.0
295,2.0
296,0.0
297,2.0
298,2.0
299,2.0
300,2.0
301,0.0
302,0.0
303,0.0
304,1.0
305,1.0
306,1.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,1.0
320,1.0
321,2.0
322,2.0
323,2.0
324,3.0
325,3.0
326,0.0
327,2.0
328,2.0
329,2.0
330,0.0
331,1.0
332,1.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,2.0
345,1.0
346,2.0
347,2.0
348,2.0
349,2.0
350,2.0
351,0.0
352,1.0
353,1.0
354,1.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1.0
368,1.0
369,2.0
370,0.0
371,0.0
372,3.0
373,3.0
374,2.0
375,3.0
376,0.0
377,2.0
378,2.0
379,1.0
380,1.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,1.0
393,1.0
394,1.0
395,1.0
396,2.0
397,2.0
398,2.0
399,2.0
400,1.0
401,1.0
402,1.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,1.0
414,0.0
415,1.0
416,1.0
417,1.0
418,0.0
419,0.0
420,3.0
421,3.0
422,3.0
423,3.0
424,2.0
425,2.0
426,1.0
427,1.0
428,1.0
429,1.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,2.0
467,0.0
468,3.0
469,3.0
470,3.0
471,3.0
472,3.0
473,3.0
474,2.0
475,2.0
476,1.0
477,1.0
478,1.0
479,1.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,2.0
496,2.0
497,2.0
498,1.0
499,1.0
500,1.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,1.0
515,2.0
516,3.0
517,3.0
518,3.0
519,3.0
520,3.0
521,3.0
522,3.0
523,2.0
524,2.0
525,1.0
526,1.0
527,1.0
528,1.0
529,1.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,1.0
540,1.0
541,1.0
542,0.0
543,0.0
544,2.0
545,2.0
546,2.0
547,2.0
548,1.0
549,1.0
550,1.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,2.0
564,2.0
565,3.0
566,3.0
567,3.0
568,3.0
569,3.0
570,3.0
571,3.0
572,2.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,1.0
589,1.0
590,1.0
591,0.0
592,0.0
593,2.0
594,2.0
595,2.0
596,2.0
597,2.0
598,1.0
599,1.0
600,1.0
601,0.0
602,0.0
603,0.0
604,0.0
605,1.0
606,1.0
607,1.0
608,2.0
609,2.0
610,2.0
611,1.0
612,2.0
613,2.0
614,3.0
615,1.0
616,0.0
617,0.0
618,4.0
619,0.0
620,3.0
621,2.0
622,1.0
623,1.0
624,1.0
625,1.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,1.0
638,1.0
639,0.0
640,0.0
641,2.0
642,2.0
643,2.0
644,0.0
645,0.0
646,0.0
647,0.0
648,1.0
649,1.0
650,1.0
651,0.0
652,0.0
653,1.0
654,1.0
655,2.0
656,2.0
657,0.0
658,0.0
659,2.0
660,2.0
661,1.0
662,2.0
663,3.0
664,4.0
665,1.0
666,1.0
667,4.0
668,4.0
669,0.0
670,1.0
671,1.0
672,1.0
673,1.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,1.0
687,1.0
688,0.0
689,2.0
690,2.0
691,2.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,2.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,2.0
704,2.0
705,0.0
706,0.0
707,0.0
708,2.0
709,2.0
710,2.0
711,3.0
712,3.0
713,3.0
714,1.0
715,4.0
716,4.0
717,4.0
718,3.0
719,1.0
720,1.0
721,1.0
722,1.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,1.0
736,1.0
737,2.0
738,2.0
739,2.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,2.0
747,2.0
748,1.0
749,1.0
750,1.0
751,1.0
752,2.0
753,2.0
754,0.0
755,0.0
756,1.0
757,3.0
758,2.0
759,2.0
760,2.0
761,3.0
762,4.0
763,1.0
764,4.0
765,4.0
766,3.0
767,2.0
768,1.0
769,1.0
770,1.0
771,1.0
772,1.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,1.0
785,1.0
786,2.0
787,2.0
788,2.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,3.0
795,2.0
796,2.0
797,1.0
798,1.0
799,1.0
800,1.0
801,2.0
802,2.0
803,0.0
804,1.0
805,0.0
806,1.0
807,3.0
808,3.0
809,3.0
810,3.0
811,4.0
812,0.0
813,0.0
814,4.0
815,3.0
816,2.0
817,2.0
818,1.0
819,1.0
820,1.0
821,1.0
822,1.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,1.0
829,0.0
830,0.0
831,0.0
832,0.0
833,1.0
834,1.0
835,2.0
836,2.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,3.0
843,3.0
844,2.0
845,3.0
846,2.0
847,2.0
848,2.0
849,2.0
850,3.0
851,4.0
852,1.0
853,0.0
854,0.0
855,1.0
856,1.0
857,3.0
858,5.0
859,3.0
860,3.0
861,1.0
862,3.0
863,3.0
864,3.0
865,3.0
866,0.0
867,1.0
868,1.0
869,1.0
870,1.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,1.0
877,1.0
878,1.0
879,0.0
880,0.0
881,0.0
882,1.0
883,1.0
884,1.0
885,2.0
886,0.0
887,0.0
888,0.0
889,0.0
890,3.0
891,3.0
892,2.0
893,3.0
894,3.0
895,2.0
896,2.0
897,3.0
898,3.0
899,3.0
900,4.0
901,4.0
902,4.0
903,1.0
904,1.0
905,0.0
906,3.0
907,5.0
908,0.0
909,4.0
910,1.0
911,4.0
912,4.0
913,3.0
914,3.0
915,1.0
916,1.0
917,1.0
918,1.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,1.0
925,1.0
926,1.0
927,1.0
928,1.0
929,0.0
930,0.0
931,1.0
932,1.0
933,1.0
934,1.0
935,2.0
936,0.0
937,0.0
938,3.0
939,3.0
940,2.0
941,3.0
942,3.0
943,3.0
944,2.0
945,3.0
946,4.0
947,4.0
948,0.0
949,4.0
950,4.0
951,1.0
952,1.0
953,1.0
954,0.0
955,0.0
956,5.0
957,4.0
958,1.0
959,0.0
960,0.0
961,1.0
962,0.0
963,3.0
964,0.0
965,1.0
966,1.0
967,1.0
968,1.0
969,0.0
970,1.0
971,1.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,1.0
978,1.0
979,0.0
980,0.0
981,1.0
982,1.0
983,1.0
984,1.0
985,2.0
986,2.0
987,2.0
988,2.0
989,3.0
990,3.0
991,3.0
992,3.0
993,3.0
994,4.0
995,4.0
996,4.0
997,5.0
998,5.0
999,1.0
1000,1.0
1001,0.0
1002,0.0
1003,1.0
1004,0.0
1005,0.0
1006,4.0
1007,1.0
1008,2.0
1009,1.0
1010,0.0
1011,0.0
1012,3.0
1013,0.0
1014,1.0
1015,1.0
1016,1.0
1017,1.0
1018,1.0
1019,0.0
1020,0.0
1021,1.0
1022,1.0
1023,1.0
1024,0.0
1025,1.0
1026,1.0
1027,1.0
1028,1.0
1029,0.0
1030,0.0
1031,1.0
1032,1.0
1033,1.0
1034,1.0
1035,2.0
1036,2.0
1037,2.0
1038,3.0
1039,3.0
1040,3.0
1041,3.0
1042,3.0
1043,1.0
1044,0.0
1045,1.0
1046,5.0
1047,5.0
1048,1.0
1049,1.0
1050,1.0
1051,1.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,1.0
1057,1.0
1058,1.0
1059,0.0
1060,3.0
1061,0.0
1062,1.0
1063,1.0
1064,1.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,1.0
1071,2.0
1072,2.0
1073,0.0
1074,0.0
1075,0.0
1076,1.0
1077,1.0
1078,0.0
1079,0.0
1080,0.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,2.0
1086,2.0
1087,3.0
1088,3.0
1089,2.0
1090,3.0
1091,0.0
1092,1.0
1093,1.0
1094,1.0
1095,5.0
1096,0.0
1097,5.0
1098,0.0
1099,1.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,1.0
1105,1.0
1106,0.0
1107,1.0
1108,1.0
1109,0.0
1110,0.0
1111,0.0
1112,1.0
1113,1.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,2.0
1121,2.0
1122,2.0
1123,0.0
1124,0.0
1125,0.0
1126,1.0
1127,0.0
1128,0.0
1129,0.0
1130,1.0
1131,1.0
1132,1.0
1133,2.0
1134,2.0
1135,2.0
1136,3.0
1137,3.0
1138,2.0
1139,3.0
1140,3.0
1141,1.0
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,1.0
1155,0.0
1156,1.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,1.0
1162,1.0
1163,2.0
1164,3.0
1165,0.0
1166,0.0
1167,0.0
1168,3.0
1169,0.0
1170,2.0
1171,2.0
1172,2.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,1.0
1179,1.0
1180,1.0
1181,2.0
1182,2.0
1183,2.0
1184,2.0
1185,2.0
1186,3.0
1187,3.0
1188,0.0
1189,4.0
1190,1.0
1191,0.0
1192,0.0
1193,1.0
1194,1.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,4.0
1202,0.0
1203,0.0
1204,1.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,2.0
1211,0.0
1212,3.0
1213,0.0
1214,3.0
1215,0.0
1216,0.0
1217,3.0
1218,3.0
1219,0.0
1220,1.0
1221,2.0
1222,2.0
1223,0.0
1224,0.0
1225,0.0
1226,1.0
1227,1.0
1228,1.0
1229,0.0
1230,0.0
1231,2.0
1232,2.0
1233,2.0
1234,2.0
1235,3.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,1.0
1241,1.0
1242,1.0
1243,0.0
1244,1.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,1.0
1253,0.0
1254,1.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,2.0
1261,3.0
1262,3.0
1263,3.0
1264,3.0
1265,0.0
1266,3.0
1267,1.0
1268,1.0
1269,0.0
1270,1.0
1271,2.0
1272,2.0
1273,0.0
1274,1.0
1275,1.0
1276,1.0
1277,1.0
1278,0.0
1279,2.0
1280,2.0
1281,2.0
1282,2.0
1283,2.0
1284,2.0
1285,4.0
1286,5.0
1287,0.0
1288,0.0
1289,1.0
1290,1.0
1291,6.0
1292,0.0
1293,1.0
1294,1.0
1295,1.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,1.0
1301,1.0
1302,0.0
1303,1.0
1304,1.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,4.0
1311,3.0
1312,3.0
1313,3.0
1314,0.0
1315,1.0
1316,0.0
1317,1.0
1318,1.0
1319,1.0
1320,2.0
1321,2.0
1322,2.0
1323,1.0
1324,1.0
1325,1.0
1326,1.0
1327,2.0
1328,2.0
1329,2.0
1330,3.0
1331,3.0
1332,3.0
1333,3.0
1334,4.0
1335,3.0
1336,3.0
1337,1.0
1338,1.0
1339,1.0
1340,1.0
1341,6.0
1342,1.0
1343,1.0
1344,1.0
1345,1.0
