Grid_Number,hospital
0,10.0
1,11.0
2,10.0
3,9.0
4,9.0
5,9.0
6,8.0
7,20.0
8,23.0
9,18.0
10,18.0
11,18.0
12,19.0
13,8.0
14,7.0
15,4.0
16,4.0
17,3.0
18,3.0
19,2.0
20,2.0
21,2.0
22,2.0
23,3.0
24,3.0
25,3.0
26,4.0
27,4.0
28,3.0
29,4.0
30,3.0
31,3.0
32,6.0
33,6.0
34,7.0
35,8.0
36,7.0
37,9.0
38,5.0
39,10.0
40,10.0
41,10.0
42,9.0
43,10.0
44,9.0
45,9.0
46,9.0
47,9.0
48,2.0
49,10.0
50,11.0
51,11.0
52,11.0
53,9.0
54,9.0
55,20.0
56,23.0
57,23.0
58,18.0
59,18.0
60,18.0
61,19.0
62,19.0
63,8.0
64,6.0
65,4.0
66,3.0
67,3.0
68,4.0
69,4.0
70,5.0
71,3.0
72,4.0
73,5.0
74,5.0
75,5.0
76,6.0
77,7.0
78,7.0
79,5.0
80,7.0
81,6.0
82,6.0
83,8.0
84,8.0
85,7.0
86,9.0
87,9.0
88,10.0
89,10.0
90,10.0
91,11.0
92,11.0
93,11.0
94,9.0
95,9.0
96,9.0
97,5.0
98,5.0
99,12.0
100,12.0
101,12.0
102,10.0
103,9.0
104,27.0
105,31.0
106,29.0
107,18.0
108,18.0
109,21.0
110,21.0
111,23.0
112,10.0
113,8.0
114,7.0
115,5.0
116,4.0
117,5.0
118,4.0
119,5.0
120,4.0
121,6.0
122,6.0
123,7.0
124,8.0
125,8.0
126,9.0
127,9.0
128,6.0
129,10.0
130,8.0
131,7.0
132,9.0
133,9.0
134,9.0
135,9.0
136,9.0
137,10.0
138,10.0
139,12.0
140,12.0
141,11.0
142,11.0
143,9.0
144,11.0
145,12.0
146,5.0
147,6.0
148,13.0
149,13.0
150,13.0
151,13.0
152,21.0
153,35.0
154,37.0
155,31.0
156,31.0
157,30.0
158,21.0
159,22.0
160,25.0
161,18.0
162,14.0
163,11.0
164,11.0
165,15.0
166,13.0
167,9.0
168,5.0
169,4.0
170,6.0
171,8.0
172,9.0
173,8.0
174,11.0
175,17.0
176,17.0
177,16.0
178,13.0
179,9.0
180,8.0
181,9.0
182,9.0
183,11.0
184,9.0
185,9.0
186,13.0
187,10.0
188,12.0
189,12.0
190,11.0
191,12.0
192,18.0
193,29.0
194,34.0
195,29.0
196,7.0
197,8.0
198,14.0
199,15.0
200,24.0
201,29.0
202,34.0
203,32.0
204,30.0
205,32.0
206,32.0
207,29.0
208,24.0
209,28.0
