Grid_Number,doctor
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,1.0
6,1.0
7,1.0
8,2.0
9,2.0
10,2.0
11,2.0
12,0.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,0.0
26,0.0
27,1.0
28,1.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,0.0
35,3.0
36,3.0
37,3.0
38,0.0
39,0.0
40,0.0
41,0.0
42,4.0
43,2.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,1.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,5.0
62,5.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,3.0
69,2.0
70,2.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,0.0
84,4.0
85,3.0
86,4.0
87,4.0
88,0.0
89,0.0
90,4.0
91,4.0
92,2.0
93,2.0
94,1.0
95,1.0
96,1.0
97,1.0
98,2.0
99,2.0
100,2.0
101,2.0
102,2.0
103,2.0
104,2.0
105,2.0
106,2.0
107,2.0
108,2.0
109,5.0
110,5.0
111,5.0
112,5.0
113,5.0
114,5.0
115,4.0
116,5.0
117,5.0
118,2.0
119,2.0
120,2.0
121,2.0
122,1.0
123,1.0
124,1.0
125,1.0
126,2.0
127,3.0
128,3.0
129,2.0
130,2.0
131,2.0
132,3.0
133,4.0
134,3.0
135,4.0
136,4.0
137,4.0
138,4.0
139,4.0
140,3.0
141,3.0
142,3.0
143,2.0
144,2.0
145,1.0
146,1.0
147,5.0
148,5.0
149,4.0
150,2.0
151,2.0
152,2.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,5.0
159,6.0
160,6.0
161,6.0
162,5.0
163,5.0
164,5.0
165,5.0
166,6.0
167,3.0
168,2.0
169,2.0
170,2.0
171,2.0
172,1.0
173,1.0
174,2.0
175,6.0
176,6.0
177,6.0
178,6.0
179,3.0
180,2.0
181,2.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,3.0
190,3.0
191,3.0
192,2.0
193,4.0
194,5.0
195,3.0
196,5.0
197,5.0
198,6.0
199,6.0
200,3.0
201,4.0
202,4.0
203,3.0
204,3.0
205,3.0
206,3.0
207,0.0
208,6.0
209,6.0
210,6.0
211,5.0
212,5.0
213,8.0
214,8.0
215,7.0
216,4.0
217,4.0
218,3.0
219,2.0
220,2.0
221,1.0
222,5.0
223,10.0
224,20.0
225,24.0
226,19.0
227,9.0
228,6.0
229,4.0
230,2.0
231,2.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,3.0
239,3.0
240,3.0
241,0.0
242,5.0
243,5.0
244,5.0
245,7.0
246,9.0
247,15.0
248,13.0
249,14.0
250,9.0
251,9.0
252,4.0
253,3.0
254,3.0
255,3.0
256,5.0
257,6.0
258,6.0
259,6.0
260,5.0
261,7.0
262,8.0
263,8.0
264,8.0
265,4.0
266,4.0
267,4.0
268,3.0
269,2.0
270,6.0
271,18.0
272,37.0
273,51.0
274,52.0
275,41.0
276,29.0
277,15.0
278,7.0
279,2.0
280,2.0
281,2.0
282,2.0
283,3.0
284,2.0
285,3.0
286,3.0
287,3.0
288,3.0
289,6.0
290,5.0
291,5.0
292,5.0
293,5.0
294,11.0
295,18.0
296,18.0
297,17.0
298,14.0
299,10.0
300,11.0
301,9.0
302,4.0
303,3.0
304,3.0
305,5.0
306,7.0
307,7.0
308,6.0
309,6.0
310,8.0
311,9.0
312,8.0
313,7.0
314,4.0
315,5.0
316,5.0
317,5.0
318,5.0
319,14.0
320,47.0
321,52.0
322,61.0
323,61.0
324,61.0
325,54.0
326,31.0
327,13.0
328,5.0
329,2.0
330,1.0
331,2.0
332,3.0
333,3.0
334,3.0
335,3.0
336,3.0
337,4.0
338,6.0
339,5.0
340,5.0
341,5.0
342,5.0
343,21.0
344,22.0
345,19.0
346,18.0
347,17.0
348,12.0
349,11.0
350,11.0
351,6.0
352,3.0
353,3.0
354,4.0
355,6.0
356,7.0
357,6.0
358,7.0
359,8.0
360,9.0
361,9.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,13.0
368,36.0
369,54.0
370,60.0
371,61.0
372,64.0
373,63.0
374,63.0
375,53.0
376,26.0
377,12.0
378,4.0
379,2.0
380,3.0
381,3.0
382,3.0
383,4.0
384,4.0
385,3.0
386,6.0
387,6.0
388,5.0
389,5.0
390,5.0
391,0.0
392,27.0
393,28.0
394,28.0
395,21.0
396,18.0
397,15.0
398,12.0
399,13.0
400,11.0
401,3.0
402,3.0
403,5.0
404,6.0
405,5.0
406,7.0
407,9.0
408,10.0
409,8.0
410,7.0
411,7.0
412,7.0
413,7.0
414,5.0
415,5.0
416,14.0
417,46.0
418,59.0
419,61.0
420,63.0
421,64.0
422,64.0
423,64.0
424,60.0
425,38.0
426,15.0
427,3.0
428,3.0
429,3.0
430,4.0
431,3.0
432,4.0
433,4.0
434,5.0
435,8.0
436,6.0
437,6.0
438,5.0
439,5.0
440,5.0
441,31.0
442,31.0
443,30.0
444,31.0
445,29.0
446,21.0
447,17.0
448,13.0
449,12.0
450,5.0
451,5.0
452,7.0
453,6.0
454,4.0
455,4.0
456,6.0
457,7.0
458,7.0
459,10.0
460,13.0
461,16.0
462,14.0
463,12.0
464,10.0
465,19.0
466,49.0
467,64.0
468,63.0
469,65.0
470,65.0
471,64.0
472,63.0
473,63.0
474,42.0
475,16.0
476,7.0
477,6.0
478,4.0
479,4.0
480,3.0
481,3.0
482,5.0
483,5.0
484,7.0
485,7.0
486,7.0
487,6.0
488,5.0
489,5.0
490,32.0
491,34.0
492,36.0
493,38.0
494,33.0
495,22.0
496,20.0
497,17.0
498,14.0
499,7.0
500,5.0
501,6.0
502,7.0
503,7.0
504,4.0
505,5.0
506,7.0
507,11.0
508,18.0
509,23.0
510,32.0
511,35.0
512,24.0
513,18.0
514,28.0
515,53.0
516,65.0
517,64.0
518,65.0
519,65.0
520,65.0
521,64.0
522,64.0
523,46.0
524,16.0
525,7.0
526,7.0
527,5.0
528,5.0
529,6.0
530,6.0
531,6.0
532,6.0
533,5.0
534,7.0
535,7.0
536,7.0
537,6.0
538,4.0
539,34.0
540,37.0
541,45.0
542,51.0
543,49.0
544,33.0
545,27.0
546,24.0
547,20.0
548,9.0
549,12.0
550,9.0
551,8.0
552,7.0
553,8.0
554,7.0
555,8.0
556,18.0
557,42.0
558,57.0
559,64.0
560,63.0
561,59.0
562,38.0
563,33.0
564,53.0
565,63.0
566,65.0
567,67.0
568,66.0
569,66.0
570,67.0
571,58.0
572,35.0
573,16.0
574,7.0
575,7.0
576,6.0
577,5.0
578,6.0
579,7.0
580,6.0
581,6.0
582,6.0
583,7.0
584,7.0
585,7.0
586,5.0
587,4.0
588,34.0
589,45.0
590,58.0
591,67.0
592,73.0
593,60.0
594,57.0
595,55.0
596,32.0
597,19.0
598,13.0
599,11.0
600,8.0
601,8.0
602,10.0
603,10.0
604,19.0
605,42.0
606,72.0
607,71.0
608,72.0
609,70.0
610,68.0
611,63.0
612,52.0
613,45.0
614,59.0
615,5.0
616,9.0
617,9.0
618,66.0
619,65.0
620,54.0
621,22.0
622,11.0
623,8.0
624,7.0
625,6.0
626,7.0
627,6.0
628,8.0
629,6.0
630,5.0
631,5.0
632,3.0
633,6.0
634,6.0
635,5.0
636,5.0
637,30.0
638,54.0
639,74.0
640,102.0
641,111.0
642,122.0
643,106.0
644,97.0
645,75.0
646,56.0
647,26.0
648,15.0
649,11.0
650,12.0
651,11.0
652,14.0
653,33.0
654,63.0
655,76.0
656,76.0
657,19.0
658,23.0
659,80.0
660,76.0
661,61.0
662,40.0
663,45.0
664,58.0
665,4.0
666,5.0
667,62.0
668,59.0
669,33.0
670,17.0
671,10.0
672,9.0
673,7.0
674,7.0
675,8.0
676,7.0
677,8.0
678,7.0
679,6.0
680,4.0
681,3.0
682,3.0
683,4.0
684,3.0
685,3.0
686,40.0
687,66.0
688,100.0
689,129.0
690,155.0
691,200.0
692,219.0
693,209.0
694,168.0
695,124.0
696,78.0
697,30.0
698,19.0
699,19.0
700,14.0
701,22.0
702,40.0
703,77.0
704,83.0
705,27.0
706,54.0
707,53.0
708,96.0
709,85.0
710,79.0
711,51.0
712,32.0
713,41.0
714,3.0
715,54.0
716,50.0
717,33.0
718,17.0
719,12.0
720,9.0
721,6.0
722,8.0
723,8.0
724,7.0
725,8.0
726,9.0
727,8.0
728,7.0
729,5.0
730,4.0
731,3.0
732,3.0
733,2.0
734,2.0
735,48.0
736,90.0
737,124.0
738,157.0
739,217.0
740,247.0
741,252.0
742,253.0
743,221.0
744,190.0
745,138.0
746,89.0
747,48.0
748,25.0
749,26.0
750,32.0
751,55.0
752,99.0
753,117.0
754,36.0
755,61.0
756,54.0
757,141.0
758,124.0
759,100.0
760,66.0
761,28.0
762,20.0
763,3.0
764,25.0
765,24.0
766,23.0
767,14.0
768,11.0
769,8.0
770,6.0
771,8.0
772,10.0
773,8.0
774,10.0
775,11.0
776,9.0
777,6.0
778,6.0
779,5.0
780,3.0
781,3.0
782,2.0
783,1.0
784,83.0
785,133.0
786,203.0
787,274.0
788,304.0
789,339.0
790,313.0
791,319.0
792,284.0
793,249.0
794,213.0
795,148.0
796,108.0
797,55.0
798,31.0
799,46.0
800,81.0
801,137.0
802,186.0
803,30.0
804,58.0
805,56.0
806,42.0
807,188.0
808,156.0
809,101.0
810,43.0
811,24.0
812,1.0
813,0.0
814,23.0
815,19.0
816,14.0
817,12.0
818,11.0
819,8.0
820,8.0
821,11.0
822,10.0
823,10.0
824,9.0
825,8.0
826,8.0
827,6.0
828,6.0
829,4.0
830,3.0
831,3.0
832,2.0
833,153.0
834,239.0
835,291.0
836,355.0
837,383.0
838,398.0
839,388.0
840,363.0
841,391.0
842,326.0
843,238.0
844,179.0
845,145.0
846,113.0
847,70.0
848,85.0
849,132.0
850,206.0
851,236.0
852,27.0
853,294.0
854,47.0
855,36.0
856,16.0
857,179.0
858,138.0
859,72.0
860,50.0
861,2.0
862,39.0
863,37.0
864,34.0
865,23.0
866,3.0
867,15.0
868,11.0
869,13.0
870,15.0
871,13.0
872,14.0
873,13.0
874,12.0
875,9.0
876,9.0
877,6.0
878,4.0
879,3.0
880,2.0
881,2.0
882,209.0
883,287.0
884,382.0
885,476.0
886,509.0
887,455.0
888,459.0
889,464.0
890,425.0
891,372.0
892,306.0
893,209.0
894,161.0
895,131.0
896,144.0
897,140.0
898,177.0
899,253.0
900,328.0
901,345.0
902,385.0
903,55.0
904,48.0
905,36.0
906,229.0
907,148.0
908,2.0
909,97.0
910,6.0
911,62.0
912,59.0
913,53.0
914,42.0
915,27.0
916,19.0
917,17.0
918,16.0
919,19.0
920,17.0
921,16.0
922,15.0
923,12.0
924,13.0
925,11.0
926,5.0
927,2.0
928,2.0
929,2.0
930,2.0
931,243.0
932,351.0
933,433.0
934,549.0
935,590.0
936,532.0
937,508.0
938,539.0
939,484.0
940,402.0
941,334.0
942,235.0
943,183.0
944,169.0
945,165.0
946,157.0
947,221.0
948,29.0
949,374.0
950,431.0
951,76.0
952,91.0
953,94.0
954,66.0
955,34.0
956,226.0
957,174.0
958,10.0
959,12.0
960,12.0
961,6.0
962,88.0
963,75.0
964,5.0
965,35.0
966,21.0
967,18.0
968,19.0
969,16.0
970,17.0
971,17.0
972,15.0
973,13.0
974,13.0
975,8.0
976,2.0
977,2.0
978,2.0
979,2.0
980,266.0
981,404.0
982,490.0
983,596.0
984,662.0
985,655.0
986,625.0
987,601.0
988,536.0
989,450.0
990,346.0
991,242.0
992,212.0
993,199.0
994,202.0
995,220.0
996,255.0
997,327.0
998,405.0
999,103.0
1000,136.0
1001,112.0
1002,109.0
1003,90.0
1004,48.0
1005,23.0
1006,243.0
1007,16.0
1008,19.0
1009,24.0
1010,17.0
1011,14.0
1012,98.0
1013,9.0
1014,50.0
1015,29.0
1016,27.0
1017,19.0
1018,17.0
1019,6.0
1020,9.0
1021,16.0
1022,20.0
1023,18.0
1024,18.0
1025,11.0
1026,5.0
1027,2.0
1028,2.0
1029,287.0
1030,409.0
1031,536.0
1032,650.0
1033,728.0
1034,735.0
1035,712.0
1036,695.0
1037,590.0
1038,521.0
1039,396.0
1040,262.0
1041,204.0
1042,199.0
1043,19.0
1044,35.0
1045,52.0
1046,364.0
1047,464.0
1048,132.0
1049,145.0
1050,149.0
1051,135.0
1052,101.0
1053,52.0
1054,27.0
1055,14.0
1056,32.0
1057,39.0
1058,31.0
1059,28.0
1060,197.0
1061,16.0
1062,125.0
1063,94.0
1064,51.0
1065,4.0
1066,0.0
1067,5.0
1068,11.0
1069,9.0
1070,21.0
1071,33.0
1072,43.0
1073,43.0
1074,35.0
1075,30.0
1076,20.0
1077,7.0
1078,375.0
1079,452.0
1080,614.0
1081,725.0
1082,749.0
1083,780.0
1084,755.0
1085,729.0
1086,666.0
1087,549.0
1088,414.0
1089,283.0
1090,206.0
1091,9.0
1092,22.0
1093,35.0
1094,54.0
1095,380.0
1096,118.0
1097,583.0
1098,139.0
1099,117.0
1100,128.0
1101,111.0
1102,63.0
1103,25.0
1104,39.0
1105,53.0
1106,59.0
1107,55.0
1108,54.0
1109,49.0
1110,28.0
1111,15.0
1112,115.0
1113,79.0
1114,4.0
1115,5.0
1116,6.0
1117,9.0
1118,8.0
1119,36.0
1120,50.0
1121,50.0
1122,47.0
1123,41.0
1124,38.0
1125,33.0
1126,18.0
1127,381.0
1128,493.0
1129,601.0
1130,713.0
1131,794.0
1132,739.0
1133,701.0
1134,737.0
1135,646.0
1136,528.0
1137,396.0
1138,283.0
1139,239.0
1140,211.0
1141,15.0
1142,33.0
1143,55.0
1144,111.0
1145,113.0
1146,120.0
1147,144.0
1148,137.0
1149,129.0
1150,127.0
1151,80.0
1152,50.0
1153,61.0
1154,67.0
1155,65.0
1156,76.0
1157,69.0
1158,50.0
1159,36.0
1160,19.0
1161,156.0
1162,103.0
1163,65.0
1164,31.0
1165,3.0
1166,11.0
1167,10.0
1168,45.0
1169,52.0
1170,53.0
1171,49.0
1172,42.0
1173,42.0
1174,38.0
1175,29.0
1176,366.0
1177,500.0
1178,588.0
1179,693.0
1180,754.0
1181,724.0
1182,659.0
1183,568.0
1184,559.0
1185,481.0
1186,382.0
1187,270.0
1188,27.0
1189,216.0
1190,3.0
1191,18.0
1192,38.0
1193,67.0
1194,120.0
1195,138.0
1196,109.0
1197,152.0
1198,160.0
1199,138.0
1200,97.0
1201,638.0
1202,91.0
1203,89.0
1204,80.0
1205,80.0
1206,78.0
1207,82.0
1208,71.0
1209,40.0
1210,224.0
1211,2.0
1212,88.0
1213,2.0
1214,26.0
1215,3.0
1216,4.0
1217,52.0
1218,51.0
1219,50.0
1220,30.0
1221,46.0
1222,47.0
1223,43.0
1224,37.0
1225,360.0
1226,453.0
1227,579.0
1228,627.0
1229,688.0
1230,689.0
1231,607.0
1232,519.0
1233,501.0
1234,418.0
1235,354.0
1236,41.0
1237,26.0
1238,12.0
1239,7.0
1240,3.0
1241,21.0
1242,61.0
1243,99.0
1244,112.0
1245,151.0
1246,144.0
1247,168.0
1248,159.0
1249,129.0
1250,131.0
1251,105.0
1252,117.0
1253,86.0
1254,99.0
1255,119.0
1256,108.0
1257,68.0
1258,48.0
1259,32.0
1260,191.0
1261,137.0
1262,59.0
1263,28.0
1264,29.0
1265,40.0
1266,53.0
1267,9.0
1268,29.0
1269,37.0
1270,35.0
1271,47.0
1272,46.0
1273,40.0
1274,324.0
1275,388.0
1276,477.0
1277,535.0
1278,569.0
1279,594.0
1280,519.0
1281,460.0
1282,418.0
1283,365.0
1284,301.0
1285,253.0
1286,217.0
1287,11.0
1288,5.0
1289,2.0
1290,7.0
1291,325.0
1292,68.0
1293,101.0
1294,133.0
1295,153.0
1296,154.0
1297,163.0
1298,139.0
1299,131.0
1300,130.0
1301,117.0
1302,118.0
1303,128.0
1304,127.0
1305,128.0
1306,84.0
1307,73.0
1308,41.0
1309,9.0
1310,165.0
1311,91.0
1312,40.0
1313,31.0
1314,46.0
1315,4.0
1316,8.0
1317,29.0
1318,37.0
1319,34.0
1320,47.0
1321,46.0
1322,40.0
1323,245.0
1324,329.0
1325,369.0
1326,449.0
1327,498.0
1328,531.0
1329,460.0
1330,382.0
1331,376.0
1332,308.0
1333,314.0
1334,291.0
1335,233.0
1336,189.0
1337,10.0
1338,3.0
1339,3.0
1340,9.0
1341,331.0
1342,67.0
1343,82.0
1344,123.0
1345,146.0
