Grid_Number,police
0,1.0
1,1.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,0.0
17,0.0
18,3.0
19,3.0
20,3.0
21,0.0
22,0.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,2.0
30,2.0
31,0.0
32,0.0
33,0.0
34,1.0
35,1.0
36,1.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,0.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,0.0
72,3.0
73,1.0
74,1.0
75,1.0
76,1.0
77,2.0
78,2.0
79,2.0
80,2.0
81,0.0
82,0.0
83,0.0
84,1.0
85,1.0
86,1.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,0.0
114,3.0
115,3.0
116,3.0
117,3.0
118,3.0
119,3.0
120,3.0
121,3.0
122,1.0
123,3.0
124,3.0
125,3.0
126,4.0
127,4.0
128,2.0
129,2.0
130,2.0
131,0.0
132,0.0
133,0.0
134,1.0
135,1.0
136,1.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,3.0
163,3.0
164,3.0
165,0.0
166,0.0
167,0.0
168,3.0
169,3.0
170,3.0
171,3.0
172,3.0
173,5.0
174,6.0
175,6.0
176,7.0
177,7.0
178,2.0
179,2.0
180,2.0
181,0.0
182,0.0
183,1.0
184,1.0
185,1.0
186,1.0
187,0.0
188,0.0
189,0.0
190,1.0
191,1.0
192,2.0
193,0.0
194,0.0
195,0.0
196,1.0
197,1.0
198,0.0
199,0.0
200,2.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,1.0
207,1.0
