Class,Education,Health,Connectivity,Utilities,Government_Facilities
C1,6994,9474,59689,15748,14194
C2,5289,5501,46418,13232,12279
C3,7027,6576,62087,13660,12947
C4,5081,3507,65107,8688,8311
C5,6704,6361,75047,12837,8981
